Genre,Count,93416 divded
father-son relationship,52,1796.461538
mythical,52,1796.461538
robots,52,1796.461538
biographies,52,1796.461538
newbery honor,52,1796.461538
drama,52,1796.461538
quests (expeditions),52,1796.461538
new york (n.y.),51,1831.686275
wit and humor,51,1831.686275
birds,51,1831.686275
french language materials,50,1868.32
determination (personality trait),50,1868.32
extraterrestrial beings,50,1868.32
best friends,50,1868.32
technology,50,1868.32
spiders,50,1868.32
roman,50,1868.32
myths,49,1906.44898
beginner,49,1906.44898
tree houses,49,1906.44898
buried treasure,49,1906.44898
princesses,49,1906.44898
fathers and daughters,49,1906.44898
self-perception,48,1946.166667
geography,48,1946.166667
imaginary creatures,48,1946.166667
gods,48,1946.166667
readers (primary),47,1987.574468
indigenous peoples,47,1987.574468
criticism and interpretation,47,1987.574468
aardvark,47,1987.574468
magie,46,2030.782609
miscellanea,46,2030.782609
humorous,46,2030.782609
chapter books,46,2030.782609
long now manual for civilization,46,2030.782609
reading level-grade 5,45,2075.911111
technique,45,2075.911111
crime,45,2075.911111
pères et fils,45,2075.911111
london (england),44,2123.090909
junge,44,2123.090909
latin language materials,44,2123.090909
mitología griega,44,2123.090909
ya,44,2123.090909
politics and government,44,2123.090909
people with disabilities,43,2172.465116
monstruos,43,2172.465116
arthur (fictitious character : brown),43,2172.465116
ethics,43,2172.465116
spy stories,43,2172.465116
spies,43,2172.465116
children: grades 4-6,42,2224.190476
fictional,42,2224.190476
greek gods,42,2224.190476
airships,42,2224.190476
man-woman relationships,42,2224.190476
grandmothers,42,2224.190476
counting,42,2224.190476
castaways,42,2224.190476
survival skills,42,2224.190476
historia,42,2224.190476
language arts,41,2278.439024
reading level-grade 4,41,2278.439024
treasure troves,41,2278.439024
middle school students,41,2278.439024
translations from english,41,2278.439024
castles,41,2278.439024
children's books,41,2278.439024
senses and sensation,41,2278.439024
civilization,41,2278.439024
investigation,41,2278.439024
prejudices,41,2278.439024
high schools,41,2278.439024
household moving,41,2278.439024
juvenile poetry,40,2335.4
dictionaries,40,2335.4
materiales en español,40,2335.4
africa,40,2335.4
dirigeables,40,2335.4
experiments,40,2335.4
young women,40,2335.4
halloween,40,2335.4
happiness,39,2395.282051
childrens,39,2395.282051
habiletés de survie,39,2395.282051
animales,39,2395.282051
youth,38,2458.315789
récits humoristiques,38,2458.315789
mothers,38,2458.315789
islands,38,2458.315789
age:min:9,38,2458.315789
survival stories,37,2524.756757
greece,37,2524.756757
padres e hijos,37,2524.756757
manuscripts,37,2524.756757
twins,37,2524.756757
artists,37,2524.756757
learning,37,2524.756757
games,37,2524.756757
freundschaft,37,2524.756757
police,36,2594.888889
private investigators,36,2594.888889
wolves,36,2594.888889
series:hardyboys,36,2594.888889
christmas stories,36,2594.888889
puzzles,36,2594.888889
color,36,2594.888889
psychological,36,2594.888889
nyt:series_books=2007-07-21,36,2594.888889
memory,36,2594.888889
supervivencia,36,2594.888889
canadian,35,2669.028571
amerikanisches englisch,35,2669.028571
basketball,35,2669.028571
thriller,35,2669.028571
counting books,35,2669.028571
hermanos,35,2669.028571
amitie,35,2669.028571
moving,35,2669.028571
animaux sauvages,35,2669.028571
horses,35,2669.028571
bilingual,35,2669.028571
ecology,35,2669.028571
clothing and dress,35,2669.028571
lost and found possessions,34,2747.529412
parties,34,2747.529412
juvenile wit and humor,34,2747.529412
teenage boys,34,2747.529412
hardy boys (fictitious characters),34,2747.529412
children's plays,34,2747.529412
viajes,33,2830.787879
infancy,33,2830.787879
self-confidence,33,2830.787879
exploration,33,2830.787879
classic,33,2830.787879
paperback,33,2830.787879
farm life,33,2830.787879
bedtime,33,2830.787879
ducks,33,2830.787879
mythologie grecque,33,2830.787879
elephants,33,2830.787879
littérature de jeunesse anglaise,33,2830.787879
translations into english,33,2830.787879
description and travel,33,2830.787879
animaux,32,2919.25
criminals,32,2919.25
gods and goddesses,32,2919.25
collectionid:hbcfs,32,2919.25
nonsense verses,32,2919.25
disabilities,32,2919.25
friends,32,2919.25
grade:max:7,32,2919.25
colonies de vacances,32,2919.25
love stories,32,2919.25
middle school,32,2919.25
award:caldecott_award,32,2919.25
reading materials,32,2919.25
alphabet,32,2919.25
& magic,32,2919.25
dwellings,32,2919.25
domestic animals,32,2919.25
play,32,2919.25
homeless persons,32,2919.25
jews,32,2919.25
mothers and sons,32,2919.25
roman pour la jeunesse,32,2919.25
vocabulary,32,2919.25
plays,31,3013.419355
reading,31,3013.419355
quakers,31,3013.419355
household,31,3013.419355
knights and knighthood,31,3013.419355
literary,30,3113.866667
realistic,30,3113.866667
revenge,30,3113.866667
fathers,30,3113.866667
disability,30,3113.866667
jugendbuch,30,3113.866667
teaching,30,3113.866667
learning disabilities,30,3113.866667
feel-good,30,3113.866667
birthdays,30,3113.866667
immigrants,30,3113.866667
dioses griegos,30,3113.866667
collections,30,3113.866667
human-animal relationships,30,3113.866667
zoos,30,3113.866667
translations into vietnamese,30,3113.866667
personality,30,3113.866667
teen,30,3113.866667
memorable,29,3221.241379
sad,29,3221.241379
teenager,29,3221.241379
poseidon (greek deity),29,3221.241379
identity (psychology),29,3221.241379
triumph,29,3221.241379
short stories (single author),29,3221.241379
luminous,29,3221.241379
kings,29,3221.241379
joy,29,3221.241379
gifted children,29,3221.241379
acceptance,29,3221.241379
happy,29,3221.241379
lexile_range:601-700,29,3221.241379
motion pictures,29,3221.241379
novela fantástica,29,3221.241379
hades (greek deity),29,3221.241379
caricatures and cartoons,29,3221.241379
human behavior,29,3221.241379
baseball,29,3221.241379
examinations,29,3221.241379
zeus (greek deity),29,3221.241379
bully,29,3221.241379
chinese,29,3221.241379
taliban,28,3336.285714
concepts,28,3336.285714
water,28,3336.285714
traditional,28,3336.285714
recherche,28,3336.285714
greek & roman,28,3336.285714
goats,28,3336.285714
jealousy,28,3336.285714
winter,28,3336.285714
grief,28,3336.285714
california,28,3336.285714
cuentos humorísticos,28,3336.285714
tong hua,28,3336.285714
kings and rulers,27,3459.851852
snow,27,3459.851852
roman pour jeunes adultes,27,3459.851852
war & military,27,3459.851852
wilderness survival,27,3459.851852
nyt:series_books=2007-03-10,27,3459.851852
fishes,27,3459.851852
manuals,27,3459.851852
handbooks,27,3459.851852
grade:min:5,27,3459.851852
popularity,27,3459.851852
contemporary,27,3459.851852
ciencia-ficción,27,3459.851852
alex (fictitious character),27,3459.851852
sound,27,3459.851852
sleep,27,3459.851852
cousins,27,3459.851852
self-esteem,27,3459.851852
neighbors,27,3459.851852
terrorism,26,3592.923077
"""juvenile literature""",26,3592.923077
readers (elementary),26,3592.923077
poséidon (divinité grecque),26,3592.923077
hadès (divinité grecque),26,3592.923077
overdrive,26,3592.923077
british,26,3592.923077
frontier and pioneer life,26,3592.923077
boys & men,26,3592.923077
zeus (divinité grecque),26,3592.923077
bandes dessinées,26,3592.923077
zoo animals,26,3592.923077
photography,26,3592.923077
etc.n.,26,3592.923077
health,26,3592.923077
weather,26,3592.923077
imaginary places,26,3592.923077
disguise,26,3592.923077
liberty,26,3592.923077
rulers,26,3592.923077
queens,26,3592.923077
newbery medal books,26,3592.923077
human body,25,3736.64
texas,25,3736.64
colors,25,3736.64
judy (fictitious character),25,3736.64
moody,25,3736.64
children: grades 3-4,25,3736.64
holocaust,25,3736.64
inspirational,25,3736.64
money,25,3736.64
theater,25,3736.64
moneymaking projects,25,3736.64
egypt,25,3736.64
adolescentes,25,3736.64
deserts,25,3736.64
high school students,25,3736.64
first day of school,25,3736.64
viajes a través del tiempo,25,3736.64
cooking,25,3736.64
boarding schools,25,3736.64
drama (dramatic works by one author),25,3736.64
farms,25,3736.64
questions and answers,25,3736.64
television,25,3736.64
poor families,25,3736.64
study and teaching (elementary),25,3736.64
judy moody (fictitious character),24,3892.333333
transportation,24,3892.333333
gardens,24,3892.333333
pokemon (fictitious characters),24,3892.333333
age:max:12,24,3892.333333
social control,24,3892.333333
espionage,24,3892.333333
roman d'aventures,24,3892.333333
kindergarten,24,3892.333333
french language,24,3892.333333
sea stories,24,3892.333333
comics,24,3892.333333
harry (fictitious character),24,3892.333333
people & places,24,3892.333333
huguenots,24,3892.333333
trees,24,3892.333333
storytelling,24,3892.333333
20th century,24,3892.333333
er tong wen xue,24,3892.333333
grade:max:6,24,3892.333333
family problems,24,3892.333333
persecution,24,3892.333333
guerre mondiale,23,4061.565217
bats,23,4061.565217
rats,23,4061.565217
potter,23,4061.565217
toads,23,4061.565217
biography & autobiography,23,4061.565217
plants,23,4061.565217
haunted houses,23,4061.565217
hogwarts school of witchcraft and wizardry (imaginary organization),23,4061.565217
anglais (langue),23,4061.565217
juvenile delinquency,23,4061.565217
harry potter (fictitious character),23,4061.565217
city and town life,23,4061.565217
divorce,23,4061.565217
authorship,23,4061.565217
grandfathers,23,4061.565217
women's rights,23,4061.565217
trucks,23,4061.565217
china,23,4061.565217
future,23,4061.565217
novels,23,4061.565217
sci-fi,23,4061.565217
social issues,23,4061.565217
arctic regions,23,4061.565217
robbers and outlaws,23,4061.565217
hamsters,23,4061.565217
antiquities,23,4061.565217
trésors,23,4061.565217
riddles,23,4061.565217
jokes,23,4061.565217
german language materials,23,4061.565217
world war (1939-1945) fast (ocolc)fst01180924,23,4061.565217
control (psychology),22,4246.181818
flucht,22,4246.181818
anatomy,22,4246.181818
war stories,22,4246.181818
seasons,22,4246.181818
hermione granger (fictitious character),22,4246.181818
museums,22,4246.181818
psychological aspects,22,4246.181818
jewish (1939-1945),22,4246.181818
stealing,22,4246.181818
public speaking,22,4246.181818
habits and behavior,22,4246.181818
night,22,4246.181818
japan,22,4246.181818
sharks,22,4246.181818
rescues,22,4246.181818
humour,22,4246.181818
marriage,22,4246.181818
diseases,22,4246.181818
infants,22,4246.181818
ron weasley (fictitious character),22,4246.181818
hogwarts school of witchcraft and wizardry (imaginary place),22,4246.181818
self-acceptance,22,4246.181818
questions,22,4246.181818
magos,22,4246.181818
personal narratives,22,4246.181818
familles,22,4246.181818
in library,21,4448.380952
snakes,21,4448.380952
casas en árboles,21,4448.380952
oratory,21,4448.380952
pokémon (fictitious characters),21,4448.380952
ouvrages illustres,21,4448.380952
theft,21,4448.380952
barn- och ungdomslitteratur,21,4448.380952
beginning reader,21,4448.380952
patients,21,4448.380952
philosophy,21,4448.380952
sans-abri,21,4448.380952
self-actualization (psychology),21,4448.380952
english fantasy literature,21,4448.380952
community life,21,4448.380952
translations into marathi,21,4448.380952
blacks,21,4448.380952
graphic novel,21,4448.380952
witchcraft,21,4448.380952
grade:max:undefined,21,4448.380952
dating (social customs),21,4448.380952
relaciones humanas,21,4448.380952
litterature de jeunesse anglaise,21,4448.380952
etc,21,4448.380952
painting,21,4448.380952
italy,21,4448.380952
zoology,21,4448.380952
seashore,21,4448.380952
mort,21,4448.380952
treasure-trove,21,4448.380952
sci fi,21,4448.380952
social prediction,21,4448.380952
business presentations,21,4448.380952
braille language materials,21,4448.380952
heroes and heroines,21,4448.380952
religion,21,4448.380952
huérfanos,21,4448.380952
human anatomy,20,4670.8
jealousy in girls,20,4670.8
storms,20,4670.8
age:max:undefined,20,4670.8
delincuencia juvenil,20,4670.8
ahnen,20,4670.8
police procedural,20,4670.8
délinquance juvénile,20,4670.8
creative activities and seat work,20,4670.8
vocational guidance,20,4670.8
demonology,20,4670.8
the big red dog (fictitious character),20,4670.8
rhyme,20,4670.8
hockey stories,20,4670.8
frères et soeurs,20,4670.8
juevnile literature,20,4670.8
punishment,20,4670.8
newbery award winner 1999,20,4670.8
lesen,20,4670.8
personas sin hogar,20,4670.8
grenouilles,20,4670.8
lexile:660,20,4670.8
judicial error,20,4670.8
fame,20,4670.8
überleben,20,4670.8
collectionid:bannedbooks,20,4670.8
juvenile corrections,20,4670.8
inventors,20,4670.8
straflager,20,4670.8
u berleben,20,4670.8
dreams,20,4670.8
materiales en español,20,4670.8
ranas,20,4670.8
fluch,20,4670.8
familie,20,4670.8
miniature books,20,4670.8
princes,20,4670.8
life on other planets,20,4670.8
frogs & toads,20,4670.8
germany,20,4670.8
art de parler en public,20,4670.8
ficcion juvenil,20,4670.8
human rights,20,4670.8
homeless person,20,4670.8
third-grade girls,20,4670.8
children: babies toddlers,20,4670.8
erlösung,20,4670.8
students,20,4670.8
"""Juvenile literature""",20,4670.8
tiger,20,4670.8
virginia,20,4670.8
children's books/baby-preschool,20,4670.8
italian,20,4670.8
clifford,20,4670.8
ratones,20,4670.8
media tie-in,20,4670.8
erlo sung,20,4670.8
alphabet books,20,4670.8
cerdos,20,4670.8
