Authors,Genres,Number Of Books
Michael McCurdy,"adventure and adventurers,africa,conditions sociales,etc. pour la jeunesse,maturation (psychologie),maturation (psychology),nouvelles,romans,social conditions,social history,youth",1
Rachelle Delaney,"authorship,england,girls,grandmothers,grandparents,mother and child,mothers and daughters,schools,single-parent families,american literature",2
Michael Usher,"1832-1898,accessible book,adventure and adventurers,adventure stories,affirmation de soi,animals,books and reading,carroll,children,children's literature,children's stories,chinese,chinese language,classic literature,classics,collections,coloring books,conduct of life,contes de fées,courts,courts and courtiers,criticism and interpretation,crocheting,curiosity,decision making,dreams,enfants,english,english adventure stories,english fantasy literature,english language,english literature,english nonsense verses,etc. pour la jeunesse,evolution,fairy tales,fantasmes,fantastique,fantasy,fantasy & magic,fantasía,ficción juvenil,friendship,general,girls,high interest-low vocabulary books,histoires pour enfants anglaises,history,history and criticism,humor,humorous stories,humour pour la jeunesse,illustrations,imaginary places,imagination,imagination & play,internet archive wishlist,juvenile literature,juvenile wit and humor,large type books,legends,lewis,lewis),literatura infanto-juvenil,literatura inglesa,literature,logic,lugares imaginarios,morale pratique,mythical animals,new york times bestseller,nonsense verses,nouvelles,novela,novela fantástica,novela juvenil,open library staff picks,picture books,prise de décision,protected daisy,rabbits,readers,readers for new literates,reading materials,romans,russian language,shao er du wu,short stories (single author),spanish language,spanish language materials,suo xie,swahili language,tea,textbooks for foreign speakers,texts,theft,tong hua,toy and movable books,translations into irish,translations into polish,vol (droit),xiao shuo,ying yu,fantasy, adventure, childrens stories, humor,animals, friendship, adventure, fantasy, juvenile literature,fantasy, adventure, childrens stories, humor,animals, friendship, adventure, fantasy, juvenile literature",2
Anne Rooney,"1832-1898,accessible book,adventure and adventurers,adventure stories,affirmation de soi,animals,books and reading,carroll,children,children's literature,children's stories,chinese,chinese language,classic literature,classics,collections,coloring books,conduct of life,contes de fées,courts,courts and courtiers,criticism and interpretation,crocheting,curiosity,decision making,dreams,enfants,english,english adventure stories,english fantasy literature,english language,english literature,english nonsense verses,etc. pour la jeunesse,evolution,fairy tales,fantasmes,fantastique,fantasy,fantasy & magic,fantasía,ficción juvenil,friendship,general,girls,high interest-low vocabulary books,histoires pour enfants anglaises,history,history and criticism,humor,humorous stories,humour pour la jeunesse,illustrations,imaginary places,imagination,imagination & play,internet archive wishlist,juvenile literature,juvenile wit and humor,large type books,legends,lewis,lewis),literatura infanto-juvenil,literatura inglesa,literature,logic,lugares imaginarios,morale pratique,mythical animals,new york times bestseller,nonsense verses,nouvelles,novela,novela fantástica,novela juvenil,open library staff picks,picture books,prise de décision,protected daisy,rabbits,readers,readers for new literates,reading materials,romans,russian language,shao er du wu,short stories (single author),spanish language,spanish language materials,suo xie,swahili language,tea,textbooks for foreign speakers,texts,theft,tong hua,toy and movable books,translations into irish,translations into polish,vol (droit),xiao shuo,ying yu",1
Claire Freedman,"aliens,chapter books,extraterrestrial beings,human-alien encounters,humorous stories,life on other planets,outer space,reader",1
Shenaaz Nanji,"clothing and dress,extraterrestrial beings,humorous stories,pictorial works,stories in rhyme,underwear,emigration and immigration,ethnic relations,families,family,family life,history,refugees",2
Deb Lund,"emperor penguin,juvenile literature",1
Menno Metselaar,"board books,dinosaurs,railroad trains,railroads,stories in rhyme,toy and movable books,trains,travel",1
R (Ruth) Solski,"biography,frank,history,holocaust,jewish (1939-1945),jewish children in the holocaust,jews,juvenile literature,persecutions,communauté,communities,community life,juvenile literature,literatura juvenil,ouvrages pour la jeunesse,professions,spanish language,spanish language materials,description and travel,history,juvenile literature,manners and customs,social life and customs,collection and preservation,etc,handbooks,identification,juvenile literature,manuals,mineralogy,minerals,petrology,pictorial works,rocks,specimens,toy and movable books",4
Barb McDermott,"animals,deer,geese,grizzly bear,juvenile literature,moose,otters,ouvrages pour la jeunesse,polar bear,raccoons,wolves,juvenile literature, animals, adventure and adventurers, friendship,juvenile literature, animals, childrens stories, nature, adventure,juvenile literature, animals, friendship, adventure and adventurers, general,juvenile literature, animals, friendship, adventure,juvenile literature, animals, adventure and adventurers, friendship,juvenile literature, animals, pictorial works, nature,childrens literature, animals, pictorial works, canadian,childrens literature, animals, picture books, adventure, humor,juvenile literature, animals, adventure and adventurers, picture books,animals, juvenile literature, friendship,juvenile literature, animals, general,juvenile literature, animals, friendship, adventure and adventurers, pictorial works,animals, juvenile literature, friendship,juvenile literature, animals, adventure and adventurers, friendship,adventure, friendship, travel, history, children's literature,adventure, travel, canadian, children's literature,childrens stories, adventure, historical, picture books, canadian,adventure and adventurers, childrens stories, history, travel,juvenile literature, adventure and adventurers, history, travel,childrens literature, adventure stories, pictorial works,childrens literature, adventure, history, animals,childrens stories, adventure, friendship, travel, canada,adventure, family, children's stories, history,adventure, travel, Canadian literature, children's, exploration,non-fiction, travel, canadian literature, educational, children's literature,adventure, travel, friendship,history, adventure and adventurers, childrens stories, pictorial works,geography, children's literature, Canadian literature,childrens, educational, geography, canadian literature,childrens, geography, educational, adventure,non-fiction, geographical myths, children's literature, educational, Canadian,geography, juvenile literature, childrens stories, history,adventure, juvenile literature, geography, Canadian, regions,childrens stories, adventure stories, history,juveniles, adventure and adventurers, history, friendship,history, adventure, juvenile literature, friendship,childrens literature, educational, canadian literature, adventure, friendship,history, geography, juvenile literature,juvenile literature, history, geography, Canadian (English), educational, informational,juvenile literature, history, adventure and adventurers, animals,childrens literature, geography, history, social themes,history, adventure, juvenile literature,childrens stories, history, geography,childrens stories, history, pictorial works, friendship,juvenile literature, history, canadian literature, adventure and adventurers,juvenile literature, friendship, adventure and adventurers, history,sports, canadian, juvenile literature, adventure, friendship,sports, Canadian, juvenile literature, biography,sports, canadian, juvenile literature, friendship,sports, canadian, juvenile literature, friendship,sports, canadian sports, childrens, non-fiction, juvenile literature,sports, canadian, juvenile literature,sports, childrens literature, canadian, adventure, friendship,sports, canadian, juvenile literature, friendship,sports, children, Canadian, juvenile literature,childrens literature, history, educational, informative,childrens literature, educational, geography, history,childrens literature, educational, geography, history,childrens, adventure, history, picture books, educational,non-fiction, children's literature, educational, geography, history,childrens literature, educational, geography,juvenile literature, friendship, adventure and adventurers, history, picture books,childrens literature, educational, geography, history,childrens literature, educational, geography, social studies,childrens literature, educational, geography, history,history, juvenile literature, pictorial works, children's stories,history, adventure, friendship, juvenile literature,childrens literature, educational, history, picture books, geography,juvenile literature, friendship, adventure and adventurers, history, childrens stories,juvenile literature, animals, adventure and adventurers, friendship,juvenile literature, animals, childrens stories, nature, adventure,juvenile literature, animals, friendship, adventure and adventurers, general,juvenile literature, animals, friendship, adventure,juvenile literature, animals, adventure and adventurers, friendship,juvenile literature, animals, pictorial works, nature,childrens literature, animals, pictorial works, canadian,childrens literature, animals, picture books, adventure, humor,juvenile literature, animals, adventure and adventurers, picture books,animals, juvenile literature, friendship,juvenile literature, animals, general,juvenile literature, animals, friendship, adventure and adventurers, pictorial works,animals, juvenile literature, friendship,juvenile literature, animals, adventure and adventurers, friendship,adventure, friendship, travel, history, children's literature,adventure, travel, canadian, children's literature,childrens stories, adventure, historical, picture books, canadian,adventure and adventurers, childrens stories, history, travel,juvenile literature, adventure and adventurers, history, travel,childrens literature, adventure stories, pictorial works,childrens literature, adventure, history, animals,childrens stories, adventure, friendship, travel, canada,adventure, family, children's stories, history,adventure, travel, Canadian literature, children's, exploration,non-fiction, travel, canadian literature, educational, children's literature,adventure, travel, friendship,history, adventure and adventurers, childrens stories, pictorial works,geography, children's literature, Canadian literature,childrens, educational, geography, canadian literature,childrens, geography, educational, adventure,non-fiction, geographical myths, children's literature, educational, Canadian,geography, juvenile literature, childrens stories, history,adventure, juvenile literature, geography, Canadian, regions,childrens stories, adventure stories, history,juveniles, adventure and adventurers, history, friendship,history, adventure, juvenile literature, friendship,childrens literature, educational, canadian literature, adventure, friendship,history, geography, juvenile literature,juvenile literature, history, geography, Canadian (English), educational, informational,juvenile literature, history, adventure and adventurers, animals,childrens literature, geography, history, social themes,history, adventure, juvenile literature,childrens stories, history, geography,childrens stories, history, pictorial works, friendship,juvenile literature, history, canadian literature, adventure and adventurers,juvenile literature, friendship, adventure and adventurers, history,sports, canadian, juvenile literature, adventure, friendship,sports, Canadian, juvenile literature, biography,sports, canadian, juvenile literature, friendship,sports, canadian, juvenile literature, friendship,sports, canadian sports, childrens, non-fiction, juvenile literature,sports, canadian, juvenile literature,sports, childrens literature, canadian, adventure, friendship,sports, canadian, juvenile literature, friendship,sports, children, Canadian, juvenile literature,childrens literature, history, educational, informative,childrens literature, educational, geography, history,childrens literature, educational, geography, history,childrens, adventure, history, picture books, educational,non-fiction, children's literature, educational, geography, history,childrens literature, educational, geography,juvenile literature, friendship, adventure and adventurers, history, picture books,childrens literature, educational, geography, history,childrens literature, educational, geography, social studies,childrens literature, educational, geography, history,history, juvenile literature, pictorial works, children's stories,history, adventure, friendship, juvenile literature,childrens literature, educational, history, picture books, geography,juvenile literature, friendship, adventure and adventurers, history, childrens stories",6
Catherine Chambers,"action & adventure,animal shelters,chapter books,children's plays,clubs,friendship,reader,social themes,theater",1
Judy Katschke,"geometry,juvenile literature,shape,fantasy, adventure, magic, children's stories,fantasy, adventure, magic, children's stories",2
Geronimo Stilton,"multiculturalism,new york times bestseller,schools,stories in rhyme,collectionid:fsghosts,horror stories,amis,best friends,caves,civilization,conspiracies,etc. pour la jeunesse,nouvelles,romans,time travel,voyages dans le temps,arithmetic,counting,counting books,juvenile literature,picture books,christmas,action & adventure,adventure and adventurers,adventure stories,animals,australia,children's stories,detective and mystery stories,etc. pour la jeunesse,geronimo stilton (fictitious character),guinea pigs,hamsters,haunted places,humorous stories,italian,journalists,mice,nouvelles,recherche,romans,souris,stilton,translations into chinese,trésors,voyages and travels,action & adventure,adventure and adventurers,adventure stories,animals,australia,children's stories,detective and mystery stories,etc. pour la jeunesse,geronimo stilton (fictitious character),guinea pigs,hamsters,haunted places,humorous stories,italian,journalists,mice,nouvelles,recherche,romans,souris,stilton,translations into chinese,trésors,voyages and travels,geronimo (fictitious character),geronimo stilton (fictitious character),mice,new york (state),school field trips,stilton,biography,history,happiness,adventure and adventurers,adventure stories,animals,buried treasure,children's stories,detektiver,geronimo (fictitious character),geronimo stilton (fictitious character),ghost stories,humorous stories,islands,journalists,mice,novela juvenil,ratones,sjove bøger,spanish language materials,stilton,tesoros ocultos,treasure hunts,treasure troves,adventure and adventurers,adventure stories,animals,buried treasure,children's stories,detektiver,geronimo (fictitious character),geronimo stilton (fictitious character),ghost stories,humorous stories,islands,journalists,mice,novela juvenil,ratones,sjove bøger,spanish language materials,stilton,tesoros ocultos,treasure hunts,treasure troves,adventure and adventurers,adventure stories,animals,buried treasure,children's stories,detektiver,geronimo (fictitious character),geronimo stilton (fictitious character),ghost stories,humorous stories,islands,journalists,mice,novela juvenil,ratones,sjove bøger,spanish language materials,stilton,tesoros ocultos,treasure hunts,treasure troves,adventure and adventurers,adventure stories,animals,buried treasure,children's stories,detektiver,geronimo (fictitious character),geronimo stilton (fictitious character),ghost stories,humorous stories,islands,journalists,mice,novela juvenil,ratones,sjove bøger,spanish language materials,stilton,tesoros ocultos,treasure hunts,treasure troves,shipwrecks,treasure troves,shipwrecks,treasure troves,general,general,action & adventure,animals,geronimo stilton (fictitious character),guinea pigs,hamsters,humorous stories,journalists,mice,valentine's day,valentines,ficción juvenil,game shows,geronimo stilton (fictitious character),humorous stories,journalists,mice,newspapers,ratones,rats,spanish language materials,history,ethics,science fiction, adventure and adventurers, children's stories, humor,fantasy, adventure stories, juvenile literature, friendship, animals,adventure, friendship, humor, mystery, animals,humorous stories, adventure stories, juvenile literature, friendship, animals,science fiction, adventure and adventurers, children's stories, humor,fantasy, adventure stories, juvenile literature, friendship, animals,adventure, friendship, humor, mystery, animals,humorous stories, adventure stories, juvenile literature, friendship, animals,humorous stories, friendship, adventure and adventurers,fiction, adventure, childrens stories, animals,juvenile literature, friendship, adventure and adventurers, fantasy, humor,humorous stories, adventure and adventurers, childrens stories, fantasy,juvenile literature, adventure and adventurers, friendship, humorous stories, mice,juvenile literature, adventure and adventurers, friendship, fantasy, history,juvenile literature, adventure and adventurers, fantasy, mice, friendship,science fiction, adventure, children's stories, humor, fantasy,mystery and detective stories, adventure, friendship, humor,mystery and detective stories, juvenile literature, friendship, adventure and adventurers, humor,childrens literature, adventure, humorous stories, fantasy,juvenile literature, adventure and adventurers, friendship, humorous stories,childrens literature, adventure stories, humor,childrens stories, adventure, humor,juvenile literature, adventure and adventurers, humorous stories, mystery and detective stories, fantasy,humorous stories, mystery and detective stories, adventure,juvenile literature, adventure and adventurers, humorous stories, fantasy, mystery and detective stories,humorous fiction, children's literature, adventure stories, fantasy fiction,fantasy, adventure, children's stories, humor,graphic novel, adventure, juvenile literature, friendship,juvenile literature, adventure and adventurers, humorous stories, fantasy,humorous stories, adventure stories, friendship, animals, fantasy,adventure, juvenile literature, friendship, fantasy,juvenile literature, friendship, adventure and adventurers, humorous stories, mice,fantasy, adventure, humor, animals,juvenile literature, friendship, adventure and adventurers, humor, animals,juvenile literature, friendship, adventure and adventurers, humorous stories, mice,juvenile literature, friendship, adventure and adventurers, humorous stories,juvenile literature, adventure and adventurers, animals, humoristic stories,juvenile literature, friendship, adventure and adventurers, humor,humorous stories, adventure and adventurers, friendship,mystery and detective stories, juvenile literature, humor, adventure, animals,mystery and detective stories, adventure, friendship, juvenile literature,juvenile literature, friendship, adventure and adventurers, humorous stories,juvenile literature, adventure and adventurers, friendship, humorous stories,juvenile literature, friendship, adventure, animals, humorous stories,juvenile literature, adventure and adventurers, fantasy, friendship,fiction, adventure, fantasy, mystery,juvenile literature, adventure, friendship, mystery, fantasy,fantasy, adventure, friendship, juvenile literature, mystery,adventure, juvenile literature, friendship, animals, fantasy,adventure, friendship, juvenile literature, mystery and detective stories,mystery and detective stories, adventure and adventurers, juvenile literature, friendship, humor,humorous stories, adventure, friendship, animals,Adventure, Friendship, Humorous Stories, Mystery",57
Mercer Mayer,"american,animals,behavior,brothers and sisters,children's stories,children: babies toddlers,fathers,self-reliance,behavior,ficción juvenil,memoria,memory,spanish language materials,american,anger,children's stories,emotions,american,anger,children's stories,emotions,manners and customs,orderliness,bedtime,imagination,picture books,rabbits,sleep,animals,beaches,computer-assisted instruction,grandmothers,grandparents,reading,seashore,accelerated reader,camping,etc. pour la jeunesse,fathers,fathers and sons,humorous stories,little critter (fictitious character),nouvelles,peres et fils,romans,accelerated reader,camping,etc. pour la jeunesse,fathers,fathers and sons,humorous stories,little critter (fictitious character),nouvelles,peres et fils,romans,animals,babies,brothers,brothers and sisters,infants,little critter (fictitious character),picture books,picture books for children,siblings,brothers and sisters,parks,siblings,sisters,city and town life,mothers,mothers and sons,museums,shopping,camps,little critter (fictitious character),american,american poetry,children's poetry,christmas,christmas poetry,juvenile poetry,narrative poetry,poetry,santa claus,american,american poetry,children's poetry,christmas,christmas poetry,juvenile poetry,narrative poetry,poetry,santa claus,christmas,behavior,blind,books and reading,dreams,nightmares,juvenile literature, friendship, picture books, animals,picture books, juvenile literature, friendship, animals, humorous stories,picture books, humorous stories, friendship, monsters",17
Marilyn Easton,"american,animals,behavior,brothers and sisters,children's stories,children: babies toddlers,fathers,self-reliance,juvenile literature, friendship, adventure and adventurers, girls, friendship",2
Steven Otfinoski,"human-alien encounters,time travel,animals,juvenile literature,miscellanea,questions and answers,sharks,animals, adventure, juvenile literature, friendship, humor,animals, adventure, friendship, humor, children's stories,animals, adventure and adventurers, juvenile literature, spiders, pictorial works,animals, adventure, juvenile literature, spiders, pictorial works",5
Kari-Lynn Winters,"collectionid:fearstreet,friendship,ghost stories,horror stories,horror tales,islands,mystery and detective stories,parties,audiobooks,children's audiobooks,dogs,ducks,ficción juvenil,friendship,patos,perros,spanish language materials,animals,hats,creative writing,drawing,etc. pour la jeunesse,imagination,livres d'images pour enfants,nouvelles,picture books for children,romans,sloths,writer's block,creative writing,drawing,etc. pour la jeunesse,imagination,livres d'images pour enfants,nouvelles,picture books for children,romans,sloths,writer's block",4
Dick King-Smith,"biography: general,behavior,boys,inheritance and succession,parrots,children's stories,dogs,girls,humorous stories,middle schools,puppies",3
Annabel Lyon,"anecdotes,domestic animals,juvenile literature,pigs,swine,adolescentes,american literature,cousins,etc. pour la jeunesse,families,high schools,nouvelles,romans,teenage girls",2
Matt Christopher,"etc. pour la jeunesse,families,famille,family,identity (psychology),nouvelles,romans,brothers,brothers and sisters,football,football stories,people with mental disabilities,siblings,baseball,baseball stories,children: grades 2-3,baseball,children: grades 3-4,african americans,basketball,basketball players,biography,blacks,juvenile literature,biography,hockey,hockey players",6
Christina Soontornvat,"history,performing arts,theater",1
Veronica Roth,"adolescence,amerikanisches englisch,basic reader,bestseller,courage,dystopian,dystopian ya,dystopias,families,family,family life,future,girls & women,identity,identity (philosophical concept),identity (psychology),large type books,love,loyalty,readers,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 8,reading level-grade 9,roman,sci-fi,social classes,social issues,ya,young adult,bestseller,clases sociales,courage,dystopian,dystopian ya,dystopias,familia,families,family,family life,ficción,future,identidad (psicología),identity,identity (philosophical concept),identity (psychology),individuality,large type books,new york times bestseller,nyt:paperback_books=2012-02-25,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 7,reading level-grade 8,reading level-grade 9,romance,sci-fi,social classes,social themes,spanish language materials,valentía,values & virtues,ya,young adult,bestseller,clases sociales,courage,dystopian,dystopian ya,dystopias,familia,families,family,family life,ficción,future,identidad (psicología),identity,identity (philosophical concept),identity (psychology),individuality,large type books,new york times bestseller,nyt:paperback_books=2012-02-25,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 7,reading level-grade 8,reading level-grade 9,romance,sci-fi,social classes,social themes,spanish language materials,valentía,values & virtues,ya,young adult,bestseller,clases sociales,courage,dystopian,dystopian ya,dystopias,familia,families,family,family life,ficción,future,identidad (psicología),identity,identity (philosophical concept),identity (psychology),individuality,large type books,new york times bestseller,nyt:paperback_books=2012-02-25,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 7,reading level-grade 8,reading level-grade 9,romance,sci-fi,social classes,social themes,spanish language materials,valentía,values & virtues,ya,young adult,bestseller,clases sociales,courage,dystopian,dystopian ya,dystopias,familia,families,family,family life,ficción,future,identidad (psicología),identity,identity (philosophical concept),identity (psychology),individuality,large type books,new york times bestseller,nyt:paperback_books=2012-02-25,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 7,reading level-grade 8,reading level-grade 9,romance,sci-fi,social classes,social themes,spanish language materials,valentía,values & virtues,ya,young adult,adolescence,amerikanisches englisch,classes sociales,conduct of life,conducta (ética),courage,distopías,dystopias,dystopies,etc. pour la jeunesse,familias,families,familles,family,family life,ficción juvenil,future,girls & women,grief,identity,identity (philosophical concept),identity (psychology),identité (psychologie),individuality,large type books,love,love stories,loyalty,new york times bestseller,nouvelles,practical politics,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 7,reading level-grade 8,reading level-grade 9,roman,romans,social classes,social issues,spanish language materials,valentía,adolescence,amerikanisches englisch,classes sociales,conduct of life,conducta (ética),courage,distopías,dystopias,dystopies,etc. pour la jeunesse,familias,families,familles,family,family life,ficción juvenil,future,girls & women,grief,identity,identity (philosophical concept),identity (psychology),identité (psychologie),individuality,large type books,love,love stories,loyalty,new york times bestseller,nouvelles,practical politics,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 7,reading level-grade 8,reading level-grade 9,roman,romans,social classes,social issues,spanish language materials,valentía,dystopian, young adult, adventure, science fiction,dystopian, young adult, adventure, science fiction,adventure, dystopian, young adult, fantasy,dystopian, young adult, adventure, fantasy",4
Olivia Bennett,"adolescence,amerikanisches englisch,basic reader,bestseller,courage,dystopian,dystopian ya,dystopias,families,family,family life,future,girls & women,identity,identity (philosophical concept),identity (psychology),large type books,love,loyalty,readers,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 8,reading level-grade 9,roman,sci-fi,social classes,social issues,ya,young adult",1
Megan Wagner Lloyd,"secrecy,juvenile literature, friendship, humor, adventure",2
Alan Gratz,"behavior,best friends,families,family,family life,friendship,household moving,large type books,rules (philosophy),schools,best friends,conduct of life,darren (personnage fictif),darren shan (fictitious character),etc. pour la jeunesse,exhibitions de monstres,freak shows,friendship,horror stories,horror tales,larten crepsley (fictitious character),nouvelles,romans,school stories,schools,shan,spiders,vampires,1939-1945,campaigns,history,japanese,new york times bestseller,survival,war,war stories,world war,war & military,history,holocaust,holocaust survivors,jewish (1939-1945),jews,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,accessible book,canada,france,general,histoire,historical,history,huguenots,manuscripts,nouvelles,persecution,romans,new york times bestseller,new york times bestseller,action and adventure, friendship, historical, mystery and detective",8
Darren Shan,"best friends,conduct of life,darren (personnage fictif),darren shan (fictitious character),etc. pour la jeunesse,exhibitions de monstres,freak shows,friendship,horror stories,horror tales,larten crepsley (fictitious character),nouvelles,romans,school stories,schools,shan,spiders,vampires,birds,demonology,horror stories,werewolves,best friends,conduct of life,darren shan (fictitious character),freak shows,friendship,fugitives from justice,horror stories,horror tales,spiders,vampires,best friends,conduct of life,darren shan (fictitious character),freak shows,friendship,horror stories,horror tales,spiders,vampires,best friends,children's,conduct of life,darren shan (fictitious character),freak shows,friendship,horror stories,horror tales,spiders,vampires,horror stories,vampires,darren (personnage fictif),darren shan (fictitious character),etc. pour la jeunesse,fate and fatalism,horror stories,nouvelles,romans,shan,vampires,best friends,comics & graphic novels,conduct of life,contests,darren shan (fictitious character),east asian style,freak shows,friendship,horror,horror stories,horror tales,larten crepsley (fictitious character),manga,shan,spiders,vampires,best friends,children's stories,comic books,comics & graphic novels,conduct of life,darren shan (fictitious character),english,english horror tales,freak shows,friendship,horror,horror stories,horror tales,larten crepsley (fictitious character),manga,spiders,strips,vampires,best friends,children's stories,comic books,comics & graphic novels,conduct of life,darren shan (fictitious character),english,english horror tales,freak shows,friendship,horror,horror stories,horror tales,larten crepsley (fictitious character),manga,spiders,strips,vampires,best friends,comic books,comics & graphic novels,conduct of life,freak shows,friendship,graphic novels,horror,horror stories,horror stories.,horror tales,manga,shan,spiders,strips,supernatural,vampires,best friends,conduct of life,darren shan (fictitious character),freak shows,friendship,horror stories,horror tales,larten crepsley (fictitious character),schools,spiders,vampires,adventure and adventurers,best friends,comic books,comics & graphic novels,conduct of life,darren (personnage fictif),darren shan (fictitious character),exhibitions de monstres,freak shows,friendship,horror,horror stories,horror tales,large type books,larten crepsley (fictitious character),manga,nouvelles,romans,shan,spiders,strips,vampires",13
Jinny Johnson,"best friends,conduct of life,darren (personnage fictif),darren shan (fictitious character),etc. pour la jeunesse,exhibitions de monstres,freak shows,friendship,horror stories,horror tales,larten crepsley (fictitious character),nouvelles,romans,school stories,schools,shan,spiders,vampires,afrcian american women,african american women,african americans,beekeepers,beekeeping,coming of age,family life,general,girls,historical,large type books,literature,maternal deprivation,mothers and daughters,new york times bestseller,open library staff picks,race relations,racism,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 8,reading level-grade 9,secrets,sisters,south carolina,teenage boy/girl relations,teenage girls,teenagers,women,18.06 anglo-american literature,biographical,dominican republic,ficción,general,historia,historical,history,large type books,martyrs,murder,novela,novela histórica,political corruption,reading level-grade 10,reading level-grade 11,reading level-grade 12,revolucionarias,revolutionaries,sisters,women rebels,women revolutionaries,action & adventure,adventure and adventurers,animals,aslan the lion (fictitious character),bien y mal,brujas,children,children's literature,children's stories,christianity,classics,english,english children's stories,fairy tales,fantasy,fantasy & magic,fauns,ficción juvenil,friendship,general,good and evil,juvenile works,large type books,leones,lion,lions,magic,narnia (imaginary place),narnia (lugar imaginario),novela fantástica,open library staff picks,open_syllabus_project,pictorial works,short stories,siblings,spanish language materials,study and teaching,the blitz,thrillers,translations from english,turkish delight,winter,witches,animal sounds,animales,animales zoológicos,animals,animaux,animaux de jardin zoologique,bears,bilingual books,blind,books and reading,cuentos en rima,etc. pour la jeunesse,ficción juvenil,habits and behavior,histoires rime es,histoires rimées,nouvelles,parques zoológicos,rhyme,romans,senses and sensation,sonidos de animales,sonidos de los animales,sons,sound,spanish language,spanish language materials,spanish-english,stories in rhyme,zoo animals,zoos,american literature,classic literature,general,historical,thriller,accessible book,african american police,african americans,alex (fictitious character),alex cross (fictitious character),american literature,collectionid:ac,cross,general,kidnapping,large type books,mystery,mystery & detective,overdrive,police,police procedural,police psychologists,private schools,protected daisy,psychological,secret service,suspense,thrillers,washington (d.c.),juvenile literature, animals, friendship, adventure and adventurers",8
