Authors,Genres,Number Of Books
Robin Muller,"art,artists,juvenile literature,miscellanea,painting,collectionid:hbcfs,series:hardyboys,board books,children's poetry,clocks and watches,mice,nursery rhymes,poetry,stories in rhyme,toy and movable books,animals,badgers,boats and boating,canadian (english),children's poetry,poésie enfantine canadienne-anglaise",4
Florian Heine,birthdays,1
Andy Griffiths,"history,juvenile literature,painters,painting,communication,donkeys,friendship,humor,humorous stories,juvenile literature,picture books,dinosaurs,humorous stories,mythical animals,prehistoric animals,extraterrestrial beings,humorous stories,humorous stories, adventure stories, friendship,humorous stories, adventure stories, friendship,humorous stories, adventure, juvenile literature, friendship",6
Lemony Snicket,"adventure and adventurers,authors,books and reading,boys & men,friendship,humorous stories,illustrators,imagination,short stories,social themes,tree houses,american,american humorous stories,behavior,big books,children's stories,emotions,humorous stories,juvenile literature,librettos,spanish language materials,wit and humor,brothers and sisters,cuentos humorísticos,english humorous stories,family,ficción juvenil,foster home care,hermanos,hermanos e hermanas,huerfanos,humorous stories,huérfanos,klaus baudelaire (fictitious character),large type books,novela juvenil,orphans,récits humoristiques anglais,siblings,spanish language materials,sunny baudelaire (fictitious character),violet baudelaire (fictitious character),brothers and sisters,cuentos humorísticos,english humorous stories,family,ficción juvenil,foster home care,hermanos,hermanos e hermanas,huerfanos,humorous stories,huérfanos,klaus baudelaire (fictitious character),large type books,novela juvenil,orphans,récits humoristiques anglais,siblings,spanish language materials,sunny baudelaire (fictitious character),violet baudelaire (fictitious character),brothers and sisters,cuentos humorísticos,english humorous stories,family,ficción juvenil,foster home care,hermanos,hermanos e hermanas,huerfanos,humorous stories,huérfanos,klaus baudelaire (fictitious character),large type books,novela juvenil,orphans,récits humoristiques anglais,siblings,spanish language materials,sunny baudelaire (fictitious character),violet baudelaire (fictitious character),animals,field trips,humorous stories,imagination,museums,school field trips,stories in rhyme,detective and mystery stories,england,english detective and mystery stories,english language,english literature,general,hercule (fictitious character),hercule poirot (fictitious character),london (england),mystery,mystery & detective,poirot,private investigators,traditional,american,american humorous stories,brothers and sisters,children's humourous stories,cuentos humorísticos,english humorous stories,ficción juvenil,hermanos,humorous stories,huérfanos,orphans,recits humoristiques anglais,adolescence,apprentices,apprentis,cities and towns,city and town life,etc. pour la jeunesse,family,humorous stories,mysteries & detective stories,mystery and detective stories,nouvelles,romans,social issues,vie urbaine,fishes,future life,ghosts,goldfish,adventure and adventurers,brothers and sisters,english humorous stories,family,humorous stories,orphans,siblings,brothers and sisters,english humorous stories,hospitals,humorous stories,humor,mystery,orphans,recits humoristiques anglais,récits humoristiques anglais,steampunk,brothers and sisters,english humorous stories,hospitals,humorous stories,humor,mystery,orphans,recits humoristiques anglais,récits humoristiques anglais,steampunk,brothers and sisters,children's humourous stories,cuentos humorísticos,english humorous stories,ficción juvenil,hermanos,humorous stories,humorous stories.,huérfanos,orphans,recits humoristiques anglais,siblings,brothers and sisters,children's humourous stories,cuentos humorísticos,english humorous stories,ficción juvenil,hermanos,humorous stories,humorous stories.,huérfanos,orphans,recits humoristiques anglais,siblings,adventure and adventurers,brothers and sisters,disguise,etc. pour la jeunesse,frères et sœurs,good and evil,hotels,humorous stories,illustrators,klaus baudelaire (fictitious character),motels,nouvelles,orphans,romans,siblings,sunny baudelaire (fictitious character),violet baudelaire (fictitious character),brothers and sisters,english humorous stories,etc. pour la jeunesse,freres et soeurs,humorous stories,humor,mountains,mystery,nouvelles,orphans,orphelins,recits humoristiques,romans,récits humoristiques anglais,steampunk,brothers and sisters,children's audiobooks,children's humourous stories,cities and towns,city and town life,english,english humorous stories,etc. pour la jeunesse,frères et sœurs,humorous stories,klaus baudelaire (fictitious character),nouvelles,orphans,orphelins,ravens,recits humoristiques anglais,romans,récits humoristiques,récits humoristiques anglais,siblings,sunny baudelaire (fictitious character),vie urbaine,violet baudelaire (fictitious character),brothers and sisters,children's audiobooks,children's humourous stories,cities and towns,city and town life,english,english humorous stories,etc. pour la jeunesse,frères et sœurs,humorous stories,klaus baudelaire (fictitious character),nouvelles,orphans,orphelins,ravens,recits humoristiques anglais,romans,récits humoristiques,récits humoristiques anglais,siblings,sunny baudelaire (fictitious character),vie urbaine,violet baudelaire (fictitious character),apprentices,detective and mystery stories,humorous stories,large type books,mystery and detective stories,new york times bestseller,statues,stealing,theft,adventure and adventurers,aunts,brothers and sisters,criminals,frères et soeurs,humorous stories,humorous stories.,hurricanes,orphans,orphelins,recits humoristiques anglais,romans,récits humoristiques,récits humoristiques anglais,siblings,sunny baudelaire (fictitious character),adventure and adventurers,aunts,brothers and sisters,criminals,frères et soeurs,humorous stories,humorous stories.,hurricanes,orphans,orphelins,recits humoristiques anglais,romans,récits humoristiques,récits humoristiques anglais,siblings,sunny baudelaire (fictitious character)",15
Kristin O'Donnell Tubb,"4th grade,birds,dogs,juvenile literature,reading list,vocabulary,words",1
Carmen Agra Deedy,"adventure and adventurers,adventure stories,astrology,books and reading,new orleans (la.),supernatural,dragons,libraries,stories in rhyme",2
Rennay Craats,"20th century,foreign relations,united states,crocheting,knitting,patterns,england,general,london (england),prime ministers,social life and customs,music,sound",4
Patricia Baldwin,foreign relations,1
Douglas Baldwin,"crocheting,knitting,patterns,1885,histoire,history,history: world,juvenile literature,ouvrages pour la jeunesse,riel rebellion,1885,histoire,history,history: world,juvenile literature,ouvrages pour la jeunesse,riel rebellion,1867-1914,canada,civilization,economic conditions,history,social conditions,statistics,1867-1914,canada,civilization,economic conditions,history,social conditions,statistics,history,history: world,juvenile literature,united empire loyalists,juvenile literature, adventure and adventurers, friendship, history,fictional, adventure, friendship, history, juvenile literature,history, biography, Canada,history, biography, canada,historical, war, loyalty, adventure,history, war and military, loyalty, revolution,history, war and military, biography, american literature, suspense,biography, history, canadian literature, new york times bestseller, political",8
Carlotta Hacker,"crocheting,knitting,patterns,government relations,indians of north america,siksika indians,biography,inventors,physicists,historical,man-woman relationships,regency,romance",4
