#,Call No,Title,Authors,Barcode,Price,Status,Date Created,Genre
189,741.5 973,5 Worlds The Cobalt Prince,Mark Siegel,30385000000491,$0.00,In,"2022,01,25","mathematics,study and teaching (elementary),study and teaching (primary),study and teaching (secondary)"
193,615.9 KYI,50 Poisonous Questions: A Book With Bite,Tanya Lloyd Kyi,30385038518488,$12.95,In,"2020,04,25","american literature,arctic regions,etc. pour la jeunesse,famille,father-son relationship,fathers,fathers and sons,nouvelles,picture books,pères et fils,romans,sleep,sommeil,toy and movable books"
217,720 DK,720  : Super Structures,,30385038516917,$19.99,In,"2020,04,25","humorous stories,schools,wit and humor"
228,811 FOO,"811 : Foot in the Mouth: Poems to Speak, Sing and Shout, A ",,30385038516799,$20.00,In,"2020,04,25","history and criticism,juvenile literature,music"
250,971.5 CRA,971.5 : A Reference Guide to Toronto : City if Diversity.,,30385038517789,$15.00,In,"2020,04,26","dragons,school stories,schools"
253,F CAB,Abandon,Meg. Cabot,30385038518165,$20.00,In,"2020,04,26","frogs,picture books,picture books for children,tadpoles"
254,E SCH,Abby's birds,Ellen Schwartz,30385038513817,$21.00,In,"2020,04,26","general,historical,mystery & detective,suspense,thrillers"
256,421 GUR,ABC of Canada,PerHenrik. Gurth,30385038509096,$14.95,In,"2020,04,25","alphabet,alphabet books,english language,juvenile literature"
257,331.702 PRI,ABC of jobs people do,Roger. Priddy,30385038510747,$16.00,In,"2020,04,25","alphabet,alphabet books,canada,english language,juvenile literature"
258,428.1 ISA,ABC pop!,Rachel. Isadora,30385038501778,$1.00,In,"2020,04,25","juvenile literature,occupations,professions"
259,F KOR,The Abduction,Gordon. Korman,30385038514199,$7.00,In,"2020,04,25","alphabet,alphabet books,english language,juvenile literature"
263,F VAU,The Ability,M.M. Vaughan,30385038520055,$8.00,Lost,"2020,04,26","behavior,castaways,children's literature,children's stories,er tong wen xue,etc. pour la jeunesse,ficción juvenil,habiletés de survie -- romans,history,islands,islands of the pacific,islas,îles -- romans,loneliness,mice,naufragés -- romans,newbery honor,nouvelles,ratones,souris -- romans,spanish language materials,specimens,supervivencia,survival,survival skills,theater programs,wilderness survival,zhong pian xiao shuo"
265,F NIX,Above the veil,Garth. Nix,30385038506793,$0.00,In,"2020,04,25",recreation
266,F NIX,Above the veil,Garth. Nix,30385038517843,$7.00,In,"2020,04,25","adventure and adventurers,castles,children's stories,fantasy,horror,imaginary places"
267,F ROY,The Absent author,Ron. Roy,30385038505615,$5.50,In,"2020,04,25","adventure and adventurers,castles,children's stories,fantasy,horror,imaginary places"
268,F ROY,The Absent author,Ron. Roy,30385038512309,$5.50,In,"2020,04,26","authors,disguise,friendship,kidnapping,mystery,mystery and detective stories"
269,741.5 SCR,Absolutely Nat,Maria Scrivan,30385038519638,$0.00,In,"2023,06,27","authors,disguise,friendship,kidnapping,mystery,mystery and detective stories"
271,F LAR,Absolutely Positively Not,Mr. David LaRochelle,30385038517764,$8.99,In,"2020,04,26","children's stories,cousins,death,family life,fathers and sons,homesickness,mädchen,parent and child"
272,E CAR 2022,Abuelita and Me,Leonarda. Carranza,30385038513376,$20.00,In,"2023,09,14","conformity,high schools,homosexuality,humorous stories,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 7,reading level-grade 8,reading level-grade 9,school stories,schools"
275,616 ROM,Achoo! : the most interesting book you'll ever read about germs,Trudee. Romanek,30385038510101,$8.00,In,"2020,04,25","cliques (sociology),drama,etc. pour la jeunesse,girls,interpersonal relations,middle schools,nouvelles,popularity,popularité,private schools,romans,school stories,schools,teenage girls,écoles moyennes"
278,F HEA,Across the nightingale floor,Lian. Hearn,30385038509739,$21.00,In,"2020,04,26","african americans,baseball,baseball stories,friendship,history,jews,united states"
282,701 CIV,Action! : movement in art,Anne. Civardi,30385038513135,$20.00,In,"2020,04,25","history,motion pictures"
288,F MCM,Addison Addley and the things that aren't there,Melody DeFields McMillan,30385038515770,$0.00,In,"2020,04,26","composition and exercises,english language,grammar,textbooks"
300,534,Adventures in sound with Max Axiom super scientist : 4D an augmented reading science experience,Emily. Sohn,30385000000264,$0.00,In,"2021,11,03","civilisation,civilization,greece,history,juvenile literature,olympics,ouvrages pour la jeunesse,pictorial works,time travel"
303,599.78 LAN,The Adventures of Baby Bear,Aubrey. Lang,30385038507097,$0.00,In,"2020,04,26","history,juvenile literature,medieval civilization,middle ages,time travel"
312,F MIC,The Adventures of Miss Petitfours,Anne. Michaels,30385038520340,$22.00,In,"2020,04,25","adventure and adventurers,marine animals,superheroes"
314,F SKI,The Adventures of Stuart Little,Daphne. Skinner,30385038503579,$0.00,In,"2020,04,25","action & adventure,artistic,bibliography,children's stories,classic literature,classics,collections & anthologies,crime,detective and mystery stories,england,english,english children's stories,english detective and mystery stories,english literature,english short stories,etc.),general,governesses,historical,history,holmes,influence,irish,john h. (fictitious character),juvenile literature,large type books,murder,mystery,mystery & detective,mystery and detective stories,private investigators,revolvers,sherlock (fictitious character),sherlock holmes (fictitious character),short stories,short stories (single author),sir,snow,suspense,thrillers,traditional,tłumaczenia polskie,watson,welsh"
315,F PIL,The adventures of Super Diaper Baby  : the first graphic novel by George Beard and Harold Hutchins,Dav Pilkey,30385038519120,$0.00,In,"2023,06,26","adoption,adventure and adventurers,cats,mice"
319,F SUT,The Adventures of Tommy Smith,Robert Sutherland,30385038510324,$16.00,In,"2020,04,26","1835-1910,19th century,abenteuer,action & adventure,adaptations,adult,adventure,adventure and adventurers,adventure stories,american,american adventure stories,american literature,american manuscripts,behavior,books,boys,cartoons and comics,chang pian xiao shuo,children,children's,children's stories,classic,collections,comic books,comics & graphic novels,conduct of life,dummies (bookselling),englischunterricht,english language,er tong wen xue,etc. pour la jeunesse,exhibitions,facsimiles,ficción juvenil,friendship,fugitive slaves,garçons,general,graphic novels,high interest-low vocabulary books,historical,history,history and criticism,humorous,humorous stories,juvenile,kid's,large type books,literary,literature,male friendship,manners and customs,manuscripts,mississippi,missouri,movies,muchachos,niños,nouvelles,novel,novela,novela estadounidense,novela humorística,novels,open_syllabus_project,orphelins,paperback,polish,race relations,readers,readers for new literates,relatos de aventura,romans,runaway children,runaways,russian,slaves,social life and customs,southern states,spanish,spanish language materials,specimens,stories,strips,suo xie ben,textbooks for foreign speakers,theater,theatre,tom (fictitious character),translations,translations into czech,waisenkind,witnesses,young adult"
320,950 GAL,Adventures on the Ancient Silk Road,Priscilla Galloway,30385038517915,$14.95,In,"2020,04,26","friendship,philosophy"
321,ADV,Adventures on the High Seas,,30385038516494,$15.00,In,"2020,04,25","description and travel,history,juvenile literature,travel"
322,948 BAI,Adventures with the Vikings,Linda Bailey,30385038509948,$10.00,In,"2020,04,25","adventure and adventurers,shipwrecks,voyages and travels"
323,F NIX,Aenir,Garth. Nix,30385038515432,$4.99,In,"2020,04,26","brothers and sisters,civilization,juvenile literature,ouvrages pour la jeunesse,time travel,twins,vikings"
324,398.24 AES,Aesop's fables,Aesop's fables. English. Selections.,30385038514681,$21.00,In,"2020,04,25","castles,fantasy,horror,imaginary places"
325,950 CHA,Afghanistan,Garry Chapman,30385038516725,$20.00,In,"2020,04,25","adaptations,animals,children's stories,children: babies toddlers,fables,folklore,great_books_of_the_western_world,history and criticism,juvenile literature,open_syllabus_project,translations into english"
326,958.1 BAN,Afghanistan. The culture,Erinn. Banting,30385038511644,$22.00,In,"2020,04,26",",afghanistan,history,history: world,intelligence service,military history,pakistan,personal narratives"
327,960 HAS,African beginnings,James Haskins,30385038500995,$1.00,In,"2020,04,26","history and criticism,music"
331,960 OPI,Africans Thought of It: Amazing Innovations,Bathseba Opini,30385038518489,$11.95,In,"2020,04,25","abolitionists,africa,autobiography,biographies,biography,biography & autobiography,biography: general,blacks,enslaved persons,general,great britain,history,indigenous peoples,literary,personal narratives,slavery,slaves,social classes,social life and customs,united states,voyages and travels"
337,F RIC,After Hamelin,Bill Richardson,30385038505002,$9.95,In,"2020,04,26","deaf,deaf children,middle ages,people with disabilities,pied piper of hamelin (legendary character)"
339,F CUM,After Sylvia,Alan Cumyn,30385038512753,$9.00,In,"2020,04,26","deaf,deaf children,middle ages,people with disabilities,pied piper of hamelin (legendary character)"
340,569 BRO,After the dinosaurs : mammoths and fossil mammals,Charlotte Lewis. Brown,30385038517301,$5.00,Out,"2020,04,25","adventure and adventurers,boys,clubs,country life,ecoles,etc. pour la jeunesse,magic,maturation (psychologie),maturation (psychology),nouvelles,romans,schools"
342,F OSB,Afternoon on the Amazon,Mary Pope. Osborne,30385038520379,$6.00,In,"2020,04,26","general,romance"
343,F OSB,Afternoon on the Amazon,Mary Pope. Osborne,30385038506890,$0.00,In,"2020,04,25","action & adventure,adventure and adventurers,adventure stories,amazon river,animals,aventuras,brothers and sisters,casas en árboles,chapter books,children's literature,egypt,environment,ficción juvenil,history,magic,nature & the natural world,rain forest animals,rain forests,reader,reading,spanish language materials,time travel,tree houses"
344,E GRA,Again!,Emily. Gravett,30385038519630,$20.00,In,"2020,04,25","action & adventure,adventure and adventurers,adventure stories,amazon river,animals,aventuras,brothers and sisters,casas en árboles,chapter books,children's literature,egypt,environment,ficción juvenil,history,magic,nature & the natural world,rain forest animals,rain forests,reader,reading,spanish language materials,time travel,tree houses"
345,[FIC] IGN,Against the Odds : an Odds Book,Amy Ignatow,30385038521206,$20.99,In,"2020,04,25","adolescence,collectionid:bannedbooks,emotions,families,family,family life,family problems,friendship,general,large type books,new jersey,puberty,social problems,teenage boys,values"
347,F LEE,The Agency 1: A Spy in the House,Y.S. Lee,30385038517907,$16.99,In,"2020,04,25","great britain,history,household employees,mystery and detective stories,orphans,sex role,swindlers and swindling"
348,F BEH,Agent Stitch : A Study in Slime.,,30385000001052,$13.50,In,"2023,10,16","great britain,history,household employees,mystery and detective stories,orphans,sex role,swindlers and swindling"
350,780 ALI,"Ah, music!",Aliki.,30385038509485,$26.00,In,"2020,04,26",agriculture
351,616.9 SIM,AIDS & HIV: The Facts for Kids,Rae Simons,30385038517359,$35.65,In,"2020,04,26","history and criticism,juvenile literature,literatura juvenil,music,spanish language materials"
354,358.4 LOV,Air War,Antony Loveless,30385038517202,$10.00,In,"2020,04,26","american,brujas,ficción,general,islands,islas,large type books,love stories,massachusetts,mujeres,new england,occult & supernatural,open library staff picks,paranormal,romance,secrets,witches,women"
356,F OPP,Airborn,Kenneth. Oppel,30385038519933,$10.00,In,"2020,04,25","adventure and adventurers,adventure stories,airships,animals,animaux sauvages,authors,canadian (english),castaways,dirigeables,etc. pour la jeunesse,fantasy,imaginary creatures,mythical animals,naufrages,nouvelles,pirates,romans,shipwrecks"
358,F OPP,Airborn,Kenneth. Oppel,30385038519931,$10.00,In,"2020,04,25","adventure and adventurers,adventure stories,airships,animals,animaux sauvages,authors,canadian (english),castaways,dirigeables,etc. pour la jeunesse,fantasy,imaginary creatures,mythical animals,naufrages,nouvelles,pirates,romans,shipwrecks"
360,F OPP,Airborn,Kenneth. Oppel,30385038519929,$10.00,In,"2020,04,25","adventure and adventurers,adventure stories,airships,animals,animaux sauvages,authors,canadian (english),castaways,dirigeables,etc. pour la jeunesse,fantasy,imaginary creatures,mythical animals,naufrages,nouvelles,pirates,romans,shipwrecks"
362,F OPP,Airborn,Kenneth. Oppel,30385038519927,$10.00,In,"2020,04,26","adventure and adventurers,adventure stories,airships,animals,animaux sauvages,authors,canadian (english),castaways,dirigeables,etc. pour la jeunesse,fantasy,imaginary creatures,mythical animals,naufrages,nouvelles,pirates,romans,shipwrecks"
373,F OPP,Airborn,Kenneth. Oppel,30385038519202,$10.00,In,"2020,04,25","adventure and adventurers,adventure stories,airships,animals,animaux sauvages,authors,canadian (english),castaways,dirigeables,etc. pour la jeunesse,fantasy,imaginary creatures,mythical animals,naufrages,nouvelles,pirates,romans,shipwrecks"
375,F OPP,Airborn,Kenneth. Oppel,30385038519200,$10.00,In,"2020,04,25","adventure and adventurers,adventure stories,airships,animals,animaux sauvages,authors,canadian (english),castaways,dirigeables,etc. pour la jeunesse,fantasy,imaginary creatures,mythical animals,naufrages,nouvelles,pirates,romans,shipwrecks"
380,F OPP,Airborn,Kenneth. Oppel,30385038519189,$10.00,In,"2020,04,26","adventure and adventurers,adventure stories,airships,animals,animaux sauvages,authors,canadian (english),castaways,dirigeables,etc. pour la jeunesse,fantasy,imaginary creatures,mythical animals,naufrages,nouvelles,pirates,romans,shipwrecks"
381,F OPP,Airborn,Kenneth. Oppel,30385038519186,$10.00,In,"2020,04,25","adventure and adventurers,adventure stories,airships,animals,animaux sauvages,authors,canadian (english),castaways,dirigeables,etc. pour la jeunesse,fantasy,imaginary creatures,mythical animals,naufrages,nouvelles,pirates,romans,shipwrecks"
389,F OPP,Airborn,Kenneth. Oppel,30385000000633,$24.00,In,"2022,01,26","adventure and adventurers,adventure stories,airships,animals,animaux sauvages,authors,canadian (english),castaways,dirigeables,etc. pour la jeunesse,fantasy,imaginary creatures,mythical animals,naufrages,nouvelles,pirates,romans,shipwrecks"
391,F COL,Airman,Eoin Colfer,30385038515586,$17.99,In,"2020,04,26","aeronautics,airplanes,communication and traffic,periodicals,space vehicles"
393,629.133 PAL,The Airplane alphabet book,Jerry. Pallotta,30385038500782,$1.00,In,"2020,04,25","airplanes,collection:origami,juvenile literature,origami,paper folding,paper work"
395,F MCC,Akimbo and the elephants,Alexander McCall Smith,30385038513846,$7.00,In,"2020,04,25","akimbo (fictitious character),crocodiles,rescues"
396,F MCC,Akimbo and the lions,Alexander McCall Smith,30385038513842,$7.00,In,"2020,04,26","akimbo (fictitious character),elephants,poaching"
399,971. 3 BEC,Alberta,Harry Beckett,30385038520687,$7.95,In,"2020,04,25",physicists
401,971.23 BEC,Alberta,Harry Beckett,30385038507098,$0.00,In,"2020,04,26","general,romance"
406,F SCO,The Alchemyst--the Secrets of the Immortal Nicholas Flamel,Michael Dylan. Scott,30385038514382,$22.00,In,"2020,04,25","animals,christmas,ducks,santa claus,stories in rhyme"
407,621.385 092 BEL FAN,Alexander Graham Bell and the telephone,Jennifer. Fandel,30385038514682,$10.00,In,"2020,04,26","brothers and sisters,magic,occultism,san francisco (calif.),supernatural,twins"
408,F WAL,Alexandria of Africa,Eric Walters,30385038517369,$14.95,In,"2020,04,25","biography,history,inventors,juvenile literature"
409,973 MCC,"Algonquian year :, An : the year according to the full moon",Michael. McCurdy,30385038507099,$0.00,In,"2020,04,26","adventure and adventurers,africa,conditions sociales,etc. pour la jeunesse,maturation (psychologie),maturation (psychology),nouvelles,romans,social conditions,social history,youth"
413,F DEL,Alice Fleck's recipes for disaster,Rachelle Delaney,30385000000487,$0.00,In,"2022,01,24","authorship,england,girls,grandmothers,grandparents,mother and child,mothers and daughters,schools,single-parent families"
