#,Call No,Title,Authors,Barcode,Price,Status,Date Created,Genre
3884,E BOU,Franklin's new friend,Paulette. Bourgeois,30385038510619,$6.00,In,2020/04/25,"amitié,benjamin (personnage fictif : bourgeois),déménagement,etc. pour la jeunesse,franklin (fictitious character : bourgeois),friendship,household,household moving,livres d'images pour enfants,love,mice,moose,moving,nouvelles,orignal,picture books,picture books for children,prejudices,préjugés,romans,tortues,turtles"
3886,E BOU,Franklin's Pumpkin,Paulette Bourgeois,30385000000868,$3.95,In,2023/10/02,"agriculture,animals,franklin (fictitious character : bourgeois),pumpkin,turtles"
3890,E BOU,Franklin's secret club,Paulette. Bourgeois,30385038511075,$5.00,In,2020/04/25,"amitie,animals,benjamin (personnage fictif : bourgeois),clubes,clubs,etc. pour la jeunesse,franklin (fictitious character : bourgeois),friendship,livres d'images pour enfants,nouvelles,novela juvenil,romans,spanish language materials,tortugas,turtles"
3891,E BAD,Franklin's special blanket,Eva. Moore,30385038507202,$0.00,In,2020/04/26,"blankets,board books,franklin (fictitious character : bourgeois),lost and found possessions,specimens,toy and movable books,turtles"
3892,E JEN,Franklin's Surprise,Sharon Jennings,30385000000865,$3.95,In,2023/10/02,"benjamin (personnage fictif : bourgeois),etc. pour la jeunesse,franklin (fictitious character : bourgeois),fêtes,nouvelles,parties,romans,turtles"
3893,E BOU,Franklin's Thanksgiving,Paulette Bourgeois,30385000000990,$0.00,In,2023/10/18,"animals,dinners and dining,entertaining,ficción juvenil,franklin (fictitious character : bourgeois),grandparents,picture books for children,spanish language materials,thanksgiving day,tortugas,turtles"
3894,E JEN,Franklin's Thanksgiving,Sharon. Jennings,30385038506857,$0.00,In,2020/04/25,"animals,dinners and dining,entertaining,ficción juvenil,franklin (fictitious character : bourgeois),grandparents,picture books for children,spanish language materials,thanksgiving day,tortugas,turtles"
3895,E BOU,Franklin's Valentines,Paulette Bourgeois,30385038506098,$5.00,In,2020/04/25,"amitié,animals,benjamin (personnage fictif : bourgeois),etc. pour la jeunesse,franklin (fictitious character : bourgeois),friendship,livres d'images pour enfants,nouvelles,picture books for children,romans,saint-valentin (fête),schools,turtles,valentine's day,valentines,écoles"
3896,E BOU,Franklin's Valentines,Paulette Bourgeois,30385000000984,$5.00,In,2023/11/02,"amitié,animals,benjamin (personnage fictif : bourgeois),etc. pour la jeunesse,franklin (fictitious character : bourgeois),friendship,livres d'images pour enfants,nouvelles,picture books for children,romans,saint-valentin (fête),schools,turtles,valentine's day,valentines,écoles"
3898,E LER,"Franny B. Kranny, there's a bird in your hair!",Harriet Goldhor. Lerner,30385038506801,$0.00,In,2020/04/26,"birds,family life,hair"
3899,F BEN,Frantastic voyage,Jim. Benton,30385038513528,$5.00,In,2020/04/25,"adventure and adventurers,friendship,humorous stories,imaginary voyages"
3903,F PHI,Freak the Mighty,W. Rodman. Philbrick,30385038517786,$6.99,Lost,2020/04/25,"acceptance,adventure,adventure and adventurers,books,bullies,bully,bullying,chapter book,children,children's,coming of age,death,disabilities,disability,family,feel-good,friends,friendship,happiness,happy,joy,juvenile,learning,learning disabilities,literature,luminous,memorable,middle school,novel,paperback,personality,realistic,sad,secrets,stories,teen,teenager,triumph,ya,young adult"
3907,F PHI,Freak the Mighty,W. Rodman. Philbrick,30385038517781,$6.99,Lost and Waived,2020/04/26,"acceptance,adventure,adventure and adventurers,books,bullies,bully,bullying,chapter book,children,children's,coming of age,death,disabilities,disability,family,feel-good,friends,friendship,happiness,happy,joy,juvenile,learning,learning disabilities,literature,luminous,memorable,middle school,novel,paperback,personality,realistic,sad,secrets,stories,teen,teenager,triumph,ya,young adult"
3915,F PHI,Freak the Mighty,W. Rodman. Philbrick,30385038520672,$1.00,In,2020/04/25,"acceptance,adventure,adventure and adventurers,books,bullies,bully,bullying,chapter book,children,children's,coming of age,death,disabilities,disability,family,feel-good,friends,friendship,happiness,happy,joy,juvenile,learning,learning disabilities,literature,luminous,memorable,middle school,novel,paperback,personality,realistic,sad,secrets,stories,teen,teenager,triumph,ya,young adult"
3916,F PHI,Freak the Mighty,W. Rodman. Philbrick,30385038520669,$1.00,Lost,2020/04/26,"acceptance,adventure,adventure and adventurers,books,bullies,bully,bullying,chapter book,children,children's,coming of age,death,disabilities,disability,family,feel-good,friends,friendship,happiness,happy,joy,juvenile,learning,learning disabilities,literature,luminous,memorable,middle school,novel,paperback,personality,realistic,sad,secrets,stories,teen,teenager,triumph,ya,young adult"
3924,F PHI,Freak the Mighty,W. Rodman. Philbrick,30385038520657,$1.00,In,2020/04/25,"acceptance,adventure,adventure and adventurers,books,bullies,bully,bullying,chapter book,children,children's,coming of age,death,disabilities,disability,family,feel-good,friends,friendship,happiness,happy,joy,juvenile,learning,learning disabilities,literature,luminous,memorable,middle school,novel,paperback,personality,realistic,sad,secrets,stories,teen,teenager,triumph,ya,young adult"
3925,F PHI,Freak the Mighty,W. Rodman. Philbrick,30385038520656,$1.00,In,2020/04/26,"acceptance,adventure,adventure and adventurers,books,bullies,bully,bullying,chapter book,children,children's,coming of age,death,disabilities,disability,family,feel-good,friends,friendship,happiness,happy,joy,juvenile,learning,learning disabilities,literature,luminous,memorable,middle school,novel,paperback,personality,realistic,sad,secrets,stories,teen,teenager,triumph,ya,young adult"
3933,E LIO,Frederick,Leo Lionni,30385038517255,$16.95,In,2020/04/26,"19th century,abolitionists,african american abolitionists,african americans,afro-americans,autobiography,biographies,biography,biography & autobiography,classic literature,collectors and collecting,dictionaries,english language,enslaved persons,general,histoire,historical,history,history and criticism,korean,personal narratives,slavery,slaves,social conditions,social science,study and teaching (secondary),united states"
3935,536 NEL,Freezing and melting,Robin Nelson,30385038510252,$20.00,In,2020/04/25,"juvenile literature,liquids,water"
3938,E MIL,Fresh Princess,,30385000000384,$10.00,In,2022/01/20,"african americans,friendship,household,moving"
3939,E PIL,A Friend for Dragon,Dav Pilkey,30385000000353,$0.00,In,2021/11/13,"apples,dragons,friendship,loneliness"
3942,JC813/.6 SOB,Friend or foe?,John Sobol,30385038521209,$18.95,In,2020/04/26,"1939-1945,accidents,adventure and adventurers,airplanes,history,london (england),world war,world war (1939-1945) fast (ocolc)fst01180924"
3944,306 CUT,Friends,Robert Cutting,30385038516499,$10.00,In,2020/04/25,"158/.1,achievement,applied,applied psychology,bf 637.s8 c289 1998,bf637.s8 c37 1998,cheng gong fa,conduct of life,conducta (ética),framgång,interpersonal communication,interpersonal relations,leadership,mänskliga relationer,persuasion (psychology),psychologie applique e.,psychologie appliquee,psychologie appliquée,psychology,relations humaines,ren ji guan xi,self-actualization (psychology),self-help techniques,självförverkligande,sociology,succe  s.,succes,success,succès,tong su du wu,xiu shen,éxito"
3945,E VAN,Friends,Mies Van Hout,30385038519653,$17.95,In,2020/04/25,"158/.1,achievement,applied,applied psychology,bf 637.s8 c289 1998,bf637.s8 c37 1998,cheng gong fa,conduct of life,conducta (ética),framgång,interpersonal communication,interpersonal relations,leadership,mänskliga relationer,persuasion (psychology),psychologie applique e.,psychologie appliquee,psychologie appliquée,psychology,relations humaines,ren ji guan xi,self-actualization (psychology),self-help techniques,självförverkligande,sociology,succe  s.,succes,success,succès,tong su du wu,xiu shen,éxito"
3947,E BOO,Friends,David. Booth,30385038516493,$5.00,In,2020/04/25,"158/.1,achievement,applied,applied psychology,bf 637.s8 c289 1998,bf637.s8 c37 1998,cheng gong fa,conduct of life,conducta (ética),framgång,interpersonal communication,interpersonal relations,leadership,mänskliga relationer,persuasion (psychology),psychologie applique e.,psychologie appliquee,psychologie appliquée,psychology,relations humaines,ren ji guan xi,self-actualization (psychology),self-help techniques,självförverkligande,sociology,succe  s.,succes,success,succès,tong su du wu,xiu shen,éxito"
3951,940.3 DEA,Frightful First World War,Terry. Deary,30385038515446,$5.00,In,2020/04/25,"1914-1918,1939-1945,guerre mondiale,juvenile humor,juvenile literature,literatura juvenil,ouvrages pour la jeunesse,world war,world war (1914-1918) fast (ocolc)fst01180746,world war (1939-1945) fast (ocolc)fst01180924"
3952,741.5 Ort,Frizzy,Claribel A. Ortega,30385038519680,$0.00,In,2023/06/26,"age:max:12,age:min:8,grade:max:2,grade:min:preschool,juvenile,lexile_range:401-500"
3953,597.8/9 RIG,Frog,Kate. Riggs,30385038520521,$10.00,In,2020/04/25,"accelerated reader 1.4,amistad,amitie,amitié,animals,beginner,beginning reader,books and reading,chapter book,children's stories,collectionid:caldecotthonor70,crapauds,ficción juvenil,friendship,frog and toad (fictitious characters),frogs,frogs & toads,grenouilles,i can read book,juvenile,juvenile audience,juvenile literature,juvenile works,lexile 301-400,litterature de jeunesse anglaise,littérature de jeunesse anglaise,materiales en español,novela juvenil,open library staff picks,ouvrages illustres,ouvrages illustrés,ouvrages illustrés,primary school,ranas,rants,reader,readers,readers (primary),saisons,sapos,series:frog_and_toad,social themes,spanish language materials,study and teaching,toads"
3955,E LOB,Frog and Toad are Friends,Arnold. Lobel,30385038509990,$8.00,In,2020/04/26,"accelerated reader 1.4,amistad,amitie,amitié,animals,beginner,beginning reader,books and reading,chapter book,children's stories,collectionid:caldecotthonor70,crapauds,ficción juvenil,friendship,frog and toad (fictitious characters),frogs,frogs & toads,grenouilles,i can read book,juvenile,juvenile audience,juvenile literature,juvenile works,lexile 301-400,litterature de jeunesse anglaise,littérature de jeunesse anglaise,materiales en español,novela juvenil,open library staff picks,ouvrages illustres,ouvrages illustrés,ouvrages illustrés,primary school,ranas,rants,reader,readers,readers (primary),saisons,sapos,series:frog_and_toad,social themes,spanish language materials,study and teaching,toads"
3956,F LOB,Frog and Toad are Friends,Arnold. Lobel,30385038502783,$0.00,Lost,2020/04/25,"accelerated reader 1.4,amistad,amitie,amitié,animals,beginner,beginning reader,books and reading,chapter book,children's stories,collectionid:caldecotthonor70,crapauds,ficción juvenil,friendship,frog and toad (fictitious characters),frogs,frogs & toads,grenouilles,i can read book,juvenile,juvenile audience,juvenile literature,juvenile works,lexile 301-400,litterature de jeunesse anglaise,littérature de jeunesse anglaise,materiales en español,novela juvenil,open library staff picks,ouvrages illustres,ouvrages illustrés,ouvrages illustrés,primary school,ranas,rants,reader,readers,readers (primary),saisons,sapos,series:frog_and_toad,social themes,spanish language materials,study and teaching,toads"
3968,E LOB,Frog and Toad together,Arnold. Lobel,30385038509991,$8.00,In,2020/04/25,"amistad,amitié,animals,best friends,children's stories,classics,cookies,courage,crapauds,dragons,easy books,emotions & feelings,etc. pour la jeunesse,ficción juvenil,friendship,frog and toad (fictitious characters),frogs,frogs & toads,gardens,giants,grenouilles,juvenile,juvenile audience,juvenile works,kindness,loyalty,newbery honor,nouvelles,ouvrages pour la jeunesse,pictorial works,picture books,primary school,ranas,readers,romans,sapos,series:frog_and_toad,sharing,short stories,social themes,spanish language,toads"
3969,597.8 WAT,Frog,Barrie. Watts,30385038510225,$24.00,In,2020/04/26,"accelerated reader 1.4,amistad,amitie,amitié,animals,beginner,beginning reader,books and reading,chapter book,children's stories,collectionid:caldecotthonor70,crapauds,ficción juvenil,friendship,frog and toad (fictitious characters),frogs,frogs & toads,grenouilles,i can read book,juvenile,juvenile audience,juvenile literature,juvenile works,lexile 301-400,litterature de jeunesse anglaise,littérature de jeunesse anglaise,materiales en español,novela juvenil,open library staff picks,ouvrages illustres,ouvrages illustrés,ouvrages illustrés,primary school,ranas,rants,reader,readers,readers (primary),saisons,sapos,series:frog_and_toad,social themes,spanish language materials,study and teaching,toads"
3970,398.24 LEW,Frog girl,Paul Owen. Lewis,30385038500355,$1.00,In,2020/04/26,"folklore,frogs,indians of north america,juvenile literature,volcanoes"
3971,E TAR,Frog Prince,Edith. Tarcov,30385038513205,$6.00,In,2020/04/25,"adaptations,fairy tales,frogs,juvenile literature,princes"
3973,F BAK,Frog princess,E. D. Baker,30385038515106,$8.00,In,2020/04/26,"dragons,fairy tales,fantasy,frogs,humorous stories,magic,princes,princesses,witches"
3975,E CAL,Frog principal,Stephanie. Calmenson,30385038508646,$22.99,In,2020/04/25,"frogs,humorous stories,magic,schools"
3977,E LON,Froggy gets dressed,Jonathan London,30385038501288,$1.00,In,2020/04/26,"children: babies toddlers,clothing and dress,frogs,toy and movable books"
3978,E LON,Froggy goes to the doctor,Jonathan London,30385038512701,$8.99,In,2020/04/25,"cuentos humorísticos,ficción juvenil,frogs,humorous stories,medical care,physicians,ranas"
3981,E LON,Froggy's best Christmas,Jonathan. London,30385038520058,$5.00,In,2020/04/26,"animals,christmas,frogs"
3982,E LON,FROGGYS FIRST KISS,JONATHAN LONDON,30385038520490,$1.00,Out,2020/04/25,"frogs,schools,valentine's day"
3985,ER 597.8 CAR,Frogs,Elizabeth. Carney,30385038510882,$5.00,In,2023/10/02,"accelerated reader 1.4,amistad,amitie,amitié,animals,beginner,beginning reader,books and reading,chapter book,children's stories,collectionid:caldecotthonor70,crapauds,ficción juvenil,friendship,frog and toad (fictitious characters),frogs,frogs & toads,grenouilles,i can read book,juvenile,juvenile audience,juvenile literature,juvenile works,lexile 301-400,litterature de jeunesse anglaise,littérature de jeunesse anglaise,materiales en español,novela juvenil,open library staff picks,ouvrages illustres,ouvrages illustrés,ouvrages illustrés,primary school,ranas,rants,reader,readers,readers (primary),saisons,sapos,series:frog_and_toad,social themes,spanish language materials,study and teaching,toads"
3986,583 KOT,From acorn to oak tree,Jan. Kottke,30385038505348,$6.95,In,2020/04/26,religion
3987,LYT,From Ant to Eagle,Alex Lyttle,30385038521009,$9.95,In,2020/04/26,"brothers,summer"
3988,629.8/92 STR,From bugbots to humanoids : robotics,Laura Layton Strom,30385038519612,$7.00,In,2020/04/26,"design and construction,juvenile literature,robotics,robots"
3991,F SCR,From Charlie's Point of View,Richard Scrimger,30385038513045,$15.00,In,2020/04/26,"best friends,blind,friendship,mystery and detective stories,people with disabilities"
3995,E MUN,From far away,Robert N. Munsch,30385038503513,$0.00,In,2020/04/25,"adolescence,friendship,general,self-acceptance,self-actualization (psychology)"
4002,E CRO,From There to Here,Laurel Croza,30385038519671,$18.95,In,2020/04/26,poetry (poetic works by one author)
4003,F YAN,Front Desk,Kelly Yang,30385000001658,$12.00,In,2023/12/13,"california,chinese,chinese americans,etc.,exploitation,family,friendship,hotels,immigrant families,immigrants,juvenile literature,motels,new york times bestseller,nyt:middle-grade-paperback-monthly=2019-10-13,self-confidence,united states"
4004,F YAN,Front Desk,Kelly Yang,30385000001608,$12.00,In,2023/12/13,"california,chinese,chinese americans,etc.,exploitation,family,friendship,hotels,immigrant families,immigrants,juvenile literature,motels,new york times bestseller,nyt:middle-grade-paperback-monthly=2019-10-13,self-confidence,united states"
4005,F YAN,Front Desk,Kelly Yang,30385000001617,$12.00,In,2023/12/13,"california,chinese,chinese americans,etc.,exploitation,family,friendship,hotels,immigrant families,immigrants,juvenile literature,motels,new york times bestseller,nyt:middle-grade-paperback-monthly=2019-10-13,self-confidence,united states"
4006,F YAN,Front Desk,Kelly Yang,30385000001611,$12.00,In,2023/12/13,"california,chinese,chinese americans,etc.,exploitation,family,friendship,hotels,immigrant families,immigrants,juvenile literature,motels,new york times bestseller,nyt:middle-grade-paperback-monthly=2019-10-13,self-confidence,united states"
4007,F YAN,Front Desk,Kelly Yang,30385000001614,$12.00,In,2023/12/13,"california,chinese,chinese americans,etc.,exploitation,family,friendship,hotels,immigrant families,immigrants,juvenile literature,motels,new york times bestseller,nyt:middle-grade-paperback-monthly=2019-10-13,self-confidence,united states"
4008,F YAN,Front Desk,Kelly Yang,30385000001695,$12.00,In,2023/12/13,"california,chinese,chinese americans,etc.,exploitation,family,friendship,hotels,immigrant families,immigrants,juvenile literature,motels,new york times bestseller,nyt:middle-grade-paperback-monthly=2019-10-13,self-confidence,united states"
4010,F BLU,Fudge-a-mania,Judy. Blume,30385038512961,$9.00,In,2020/04/25,"family life,humorous stories,maine,siblings,vacations"
4011,F KOR,Fugitive factor,Gordon. Korman,30385038512681,$6.99,In,2020/04/25,"adventure and adventurers,adventure stories,fugitives from justice"
4012,741.5 CIE,Full court flash,Scott. Ciencin,30385038518392,$0.00,In,2020/04/25,"basketball,cartoons and comics,sports"
4028,741.5 Ara,Fullmetal alchemist,Hiromu Arakawa,30385000000688,$0.00,In,2022/09/09,"alchemy,brothers,comics & graphic novels,crime & mystery,east asian style,fantasy,manga"
4031,818.54 NAM,Funny bunny jokes,Diane. Namm,30385038518223,$5.00,In,2020/04/26,"juvenile humor,rabbits"
4033,599.79 PIA,Fur seals and other pinnipeds,Lome. Piasetsky,30385038512209,$15.00,In,2020/04/26,"children: grades 1-2,juvenile literature,miscellanea,questions and answers,seals (animals)"
4035,971 LIV,Fur traders,Robert Livesey,30385038500367,$1.00,In,2020/04/26,"canada,fur traders,general,historical,history,indian women,westerns,wilderness areas,women pioneers"
4036,F WES,Future of the time dragon,Tracey West,30385000000701,$0.00,In,2022/04/29,"adventure and adventurers,dragons,magic,new york times bestseller,time travel,wizards"
4037,F WES,Future of the time dragon,Tracey West,30385000000764,$0.00,In,2022/09/13,"adventure and adventurers,dragons,magic,new york times bestseller,time travel,wizards"
4038,741.5 BUR,Gabby & Gator,James Burks,30385038519247,$0.00,In,2020/04/25,"alligators,cartoons and comics,comic books,dogs,friendship,graphic novels,loneliness,strips"
4043,E PET,"Galileo's journal, 1609-1610 ",Jeanne. Pettenati,30385038514661,$10.00,In,2020/04/26,"inventors,juvenile literature,scientists"
4044,YA ALE,Gallowgate,,30385000001166,$11.25,In,2023/10/05,"general,scotland,scots"
4052,F ROS,Game Over,M.C. Ross,30385000001162,$10.00,In,2023/10/05,"brainwashing,extraterrestrial beings,games,human-alien encounters,orphans,video games"
4054,793 EAS,Games,Lisa. Easterling,30385038517666,$5.00,In,2020/04/26,"aliens,american,amerikanisches englisch,artificial intelligence,außerirdische intelligenz,award:hugo_award=novel,brothers and sisters,children's stories,ciencia-ficción,end of the world,ficción,genetic engineering,hermanos,hugo award winner,long now manual for civilization,military art and science,new york times bestseller,open library staff picks,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 7,reading level-grade 8,reading level-grade 9,siblings,space warfare"
4066,YA ARM,The Gathering,Kelley Armstrong,30385038518097,$20.00,In,2020/04/25,"epic,fantasy"
4071,F LAW,Gemini summer,Iain Lawrence,30385038514475,$21.00,In,2020/04/25,"brothers,death,dogs,families,family,family life,project gemini (u.s.),siblings"
4077,F SMI,The Geography Of You and Me,Jennifer E. Smith,30385038519726,$10.00,In,2020/04/26,"love,new york (n.y.),voyages and travels"
4089,F DAH,George's Marvelous Medicine,Roald Dahl,30385038518414,$7.99,In,2020/04/26,"1916-1990,abuelas,behaviour,books,brews formulas,chapter book,chapters,children,children's,children's humourous stories,children's stories,dahl,drama (dramatic works by one author),etc. pour la jeunesse,fantastique,ficcion juvenil,grandmothers,grandparents,grands-parents,humorous stories,juvenile,kid's,literature,magia,magic,magie,nouvelles,potions,quentin blake,roald,roald dahl,romans,spanish language materials,stories,the fantastic"
4090,F DAH,George's marvelous medicine,Roald. Dahl,30385038514616,$0.00,In,2020/04/26,"1916-1990,abuelas,behaviour,books,brews formulas,chapter book,chapters,children,children's,children's humourous stories,children's stories,dahl,drama (dramatic works by one author),etc. pour la jeunesse,fantastique,ficcion juvenil,grandmothers,grandparents,grands-parents,humorous stories,juvenile,kid's,literature,magia,magic,magie,nouvelles,potions,quentin blake,roald,roald dahl,romans,spanish language materials,stories,the fantastic"
4091,F BAR,Georgia's greatness,Lauren. BaratzLogsted,30385038519584,$8.00,In,2020/04/26,"abandoned children,adventure and adventurers,cats,schools,sisters,substitute teachers"
4092,E BUG,Georgie the Gingerbread Fairy,TIM BUGBIRD,30385038519771,$7.00,In,2020/04/25,"christmas,fairies,picture books"
4093,E SEU,Gerald McBoing Boing,Dr. Gerald McBoing Boing. Seuss,30385038505254,$16.95,In,2020/04/26,"communication,humorous stories,picture books,social acceptance,sound,sounds,speech disorders,stories in rhyme"
4095,943 MOR,Germany,Ting. Morris,30385038520503,$10.00,In,2020/04/26,"espionage,germany,intelligence officers,large type books,missing persons,politics and government,spies,suspense,thrillers"
4097,616.9 BER,Germs make me sick!,Melvin. Berger,30385038500642,$1.00,In,2020/04/25,"bacteria,biology,juvenile literature,microbiology,readers,spanish language,spanish language materials,virus diseases,viruses"
4098,E COL,Germs,Ross. Collins,30385038513814,$16.00,In,2020/04/26,"agriculture,biological evolution,civilisation,civilization,criticism and interpretation,economic history,ethnology,geschichte,histoire,historia,history,human beings,human geography,long now manual for civilization,methods,social behavior,social evolution,sociology,world history"
4112,F BAN,Get a clue!,Lisa Banim,30385038514717,$7.00,In,2020/04/25,high school students
4113,E MUN,Get me another one!,Robert Munsch,30385038519496,$5.00,In,2020/04/25,"american literature,fathers and daughters,fishing,fishing stories"
4116,E MUN,Get out of bed!,Robert N. Munsch,30385038514227,$2.00,In,2020/04/25,"bedtime,behavior,children's literature,etc. pour la jeunesse,hair,humorous stories,nouvelles,romans,school,schools,sleep,sommeil"
4118,F GUT,Get Rich Quick Club,Dan. Gutman,30385038514991,$4.00,In,2020/04/26,"clubs,maine,money-making projects for children,moneymaking projects,vacations"
4134,F RHO,Ghost boys,Jewell Parker Rhodes,30385000000608,$0.00,In,2022/01/25,"african americans,chicago (ill.),collectionid:eaneschallenge,collectionid:texchallenge2021,death,families,family life,ghosts,new york times bestseller,nyt:middle-grade-paperback-monthly=2019-10-13,police shootings,racism"
4137,E GIL,Ghost Island,Shannon Gilligan,30385038516225,$6.99,In,2020/04/26,"brothers and sisters,mystery and detective stories"
4138,E GIL,Ghost Island,Shannon Gilligan,30385000003904,$6.99,In,2024/06/12,"brothers and sisters,mystery and detective stories"
4139,E MEL,Ghost library,David. Melling,30385038512093,$22.00,In,2020/04/25,"adaptations,english language,ghost stories,ghosts,readers (adult),readers for new literates,textbooks for foreign speakers"
4145,F MCM,Ghost of Sir Herbert Dungeonstone,Kate. McMullan,30385038515103,$8.00,In,2020/04/25,"adventure and adventurers,caballeros y caballería,escuelas,ficción juvenil,ghost stories,ghosts,knights and knighthood,school stories,schools,sex role"
4146,F KEE,Ghost of the lantern lady,Carolyn. Keene,30385038502241,$1.00,In,2020/04/26,mystery and detective stories
4147,F COH,Ghost Ride,Marina Cohen,30385038517905,$10.99,In,2020/04/26,"adventure and adventurers,high school students,teenage boys,teenagers"
4150,741.5 TEL,Ghosts,Raina Telgemeier,30385038520323,$12.00,In,2020/04/25,"england,fairy tales,german language,ghosts,readers"
4151,741.5/973,Ghosts,Raina Telgemeier,30385038520316,$12.50,In,2020/04/26,"england,fairy tales,german language,ghosts,readers"
4156,F LAW,Ghosts of the Titanic,Julie. Lawson,30385038518473,$7.00,In,2020/04/26,"conduct of life,families,family life,ghost stories,ghosts,identity,identity (philosophical concept),shipwrecks,supernatural,titanic (steamship)"
4157,F LAW,Ghosts of the Titanic,Julie. Lawson,30385038518472,$7.00,In,2020/04/25,"conduct of life,families,family life,ghost stories,ghosts,identity,identity (philosophical concept),shipwrecks,supernatural,titanic (steamship)"
4158,F PES,Ghost's revenge,M. (Marci) Peschke,30385038515050,$6.00,Lost,2020/04/25,"collectionid:fsghosts,horror stories"
4163,F CAP,Giant germ,Anne. Capeci,30385038506900,$0.00,In,2020/04/25,"juvenile literature,microbiology,microorganisms,ouvrages pour la jeunesse"
4166,E CLA,Giant Lizards,,30385038517370,$5.00,In,2020/04/26,"juvenile literature,lizards"
4167,599.789 CRU,Giant pandas,Don Cruickshank,30385038514346,$0.00,In,2020/04/26,"animals,endangered species,giant panda,juvenile literature,pandas"
4169,F LAW,The Giant-Slayer,Iain Lawrence,30385038517932,$16.99,In,2020/04/26,"fathers and daughters,imagination,medical care,people with disabilities,storytelling"
4170,398.208 MAL,Giants,John Malam,30385038518530,$15.00,In,2020/04/26,"adolescent,ants,aunts,books,boys,chapter books,chapters,children,children's,children's literature,children's plays,children's stories,crystals,cuentos de hadas,english,fairy tales,family,fantasy,german,humor,humorous,humorous stories,imagination,insects,juvenile,kid's,literature,loneliness,magic,open library staff picks,orphans,plays,readers,roald dahl,size and shape,spanish,stories,translations,translations into spanish,tweens"
4171,741.5/973 AGU,Giants beware!,Jorge. Aguirre,30385038521134,$0.00,In,2020/04/25,"action & adventure,cartoons and comics,children,comic books,comics & graphic novels,courage,disabilities,fairy tales,fantasy & magic,fathers,friendship,giants,graphic novels,heroes and heroines,strips,toleration"
4175,398.2 SIE,Gift of the Crocodile,Judy. Sierra,30385038504886,$25.00,Lost,2020/04/26,"fairy tales,folklore,juvenile literature"
4179,E CRO,"Giggle, giggle, quack ",Doreen. Cronin,30385038508644,$24.50,In,2020/04/25,"animales domésticos,domestic animals,ducks,ficción juvenil,new york times reviewed,novela juvenil,patos,pictorial works,spanish language materials"
4181,597.95 MIL,Gila monster,Jake Miller,30385038512430,$24.00,In,2020/04/26,"juvenile literature,lizards,monsters"
4183,F ALL,"Gilda Joyce, Psychic Investigator",Jennifer Allison,30385038518903,$10.00,In,2020/04/25,"cousins,detective and mystery stories,family life,family problems,fathers and daughters,ghosts,humorous stories,mystery and detective stories,psychic ability,san francisco (calif.),suicide"
4184,F ALL,Gilda Joyce: The Ladies of the Lake,Jennifer Allison,30385038518882,$8.00,In,2020/04/25,"drowning victims,mystery and detective stories,psychic ability,schools"
4186,F GIF,Gingersnap,Patricia Reilly. Giff,30385038519803,$17.50,In,2020/04/25,juvenile literature
4195,E BEN,Giraffe and Bird,Rebecca Bender,30385038518009,$17.95,In,2020/04/25,"american literature,birds,friendship,giraffe"
4196,F DAH,Giraffe and the pelly and me,Roald. Dahl,30385000001189,$5.00,In,2023/10/25,"adiskidetasuna-,amistad-,animals,candy,confectionery,cuentos-,giraffe,giraffes,haur eta gazteentzako liburuak,humorous stories,ipuinak-,jirafak-,jirafas-,lanbideak-,libros infantiles y juveniles,monkeys,pelican,pelicans,pelikanoak-,pelícanos-,primateak-,primates-,profesiones-"
4197,F DAH,The Giraffe and the Pelly and Me,Roald Dahl,30385038518417,$7.00,In,2020/04/26,"adiskidetasuna-,amistad-,animals,candy,confectionery,cuentos-,giraffe,giraffes,haur eta gazteentzako liburuak,humorous stories,ipuinak-,jirafak-,jirafas-,lanbideak-,libros infantiles y juveniles,monkeys,pelican,pelicans,pelikanoak-,pelícanos-,primateak-,primates-,profesiones-"
4198,599.6 BOD,Giraffes,Valerie Bodden,30385038516561,$20.00,In,2020/04/25,"adiskidetasuna-,amistad-,animals,candy,confectionery,cuentos-,giraffe,giraffes,haur eta gazteentzako liburuak,humorous stories,ipuinak-,jirafak-,jirafas-,lanbideak-,libros infantiles y juveniles,monkeys,pelican,pelicans,pelikanoak-,pelícanos-,primateak-,primates-,profesiones-"
4199,599.638 GOL,Giraffes and other hoofed mammals,Meish. Goldish,30385038512198,$15.00,In,2020/04/25,giraffes
4200,599.6 PEL,Giraffes and zebras,Michael. Pelusey,30385038517629,$10.00,In,2020/04/26,"animals,giraffe,giraffes,juvenile literature,zoo animals"
4201,E AND,Giraffes Can't Dance,Giles. Andreae,30385038510038,$25.00,In,2020/04/26,"children's poetry,children's stories,dance,english,giraffe,giraffes,individuality,juvenile,juvenile poetry,love,pictorial works,readers,stories in rhyme,welsh"
4214,E BER,The Girl in the Castle Inside the Museum,Kate Bernheimer,30385038516170,$16.99,In,2020/04/25,"castles,etc. pour la jeunesse,museums,musées,nouvelles,romans"
4215,F VAL,The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,Catherynne M. Valente,30385038519908,$8.99,In,2020/04/26,"adventure and adventurers,dragons,fairies,fantasy,fantasy & magic,girls,good and evil,imaginary places,magic,new york times bestseller,voyages and travels"
4216,F FOR,The Girl Who Could Fly,Victoria Forester,30385038518163,$6.99,In,2020/04/25,"ability,flight,gifted children,individuality,new york times bestseller,schools,self-acceptance"
